3rd St.	3rd St.
4th St.	4th St.
5th St.	5th St.
6th St.	6th St.
7th St.	7th St.
8th St.	8th St.
9th St.	9th St.
10th St.	10th St.
Brock Dr.	Brock Dr.
It's the switch that turns on and off your siren.	這是控制警笛開關的開關。
This Thunderbird's one of the unmarked cars. Unfortunately, the unmarked cars haven't been equipped with cherrys yet.	這輛 Thunderbird 是無標誌車之一。可惜的是，無標誌車還沒配備警示燈。
The unmarked police car's steering wheel.	這輛無標誌警車的方向盤。
Inside this glove box lurks...nothing at all.	這個置物箱裡藏著……什麼都沒有。
The unmarked police car has a heater/air conditioner. Fortunately, Lytton has a very mild clime, so these gas-guzzling appliances are rarely used.	這輛無標誌警車配有暖氣／冷氣。幸好 Lytton 氣候溫和，這些耗油的設備很少派上用場。
A standard car radio.	一台標準的車用收音機。
Vents for the heater/AC. They're not used frequently, so the air that issues from these vents is usually tinged with a mildewy odor.	暖氣／冷氣的出風口。因為不常使用，從這些出風口吹出來的風通常帶著一股霉味。
The unmarked police car's tachometer.	這輛無標誌警車的轉速表。
The ignition.	點火開關。
A speedometer. The unmarked car has no siren, so when driving this vehicle, you must observe all signs and signals.	這是時速表。無標誌車沒有警笛，所以開這輛車時，你必須遵守所有號誌與標示。
The various other dials and gauges, including fuel level, temperature, and so on.	其他各種儀表，包括油量、水溫等等。
The unmarked car's turn signals.	無標誌車的方向燈。
The dash. Nice and sporty for a departmental vehicle.	這是儀表板。以一輛局裡的公務車來說，算是相當有跑車感。
The Thunderbird's gas gauge. Like the squad car, all the departmental cars are topped off every morning. It wouldn't do to run out of gas in the middle of a pursuit.	這輛 Thunderbird 的油量表。跟巡邏車一樣，所有局裡的公務車每天早上都會加滿油。要是追捕途中沒油了可就糟了。
The Thunderbird's odometer.	這輛 Thunderbird 的里程表。
Welcome to the Police Quest Driving Interface. We've made navigating Lytton easier than ever before. Here's how:	歡迎使用《Police Quest》駕駛介面。我們讓在 Lytton 導航變得比以往更簡單，方法如下：
The Lytton City map, shown in the left window, is divided into four quadrants. When you exit the police station, you will be in the lower right-hand quadrant. The map will always display the quadrant you're presently in.	左側視窗顯示的 Lytton 市地圖分成四個象限。你離開警局時，會位在右下方的象限。地圖會一直顯示你目前所在的象限。
From time to time during the game, the dispatcher will notify you to go to a particular destination. At other times, you'll have to cruise for awhile (that's what traffic patrol is all about) or figure out where you're supposed to go. Using the map enclosed in the game box will help.	遊戲進行中，調度台會不時通知你前往特定地點。其他時候，你得四處巡邏一陣子（這正是交通巡邏的本質），或自己想辦法弄清楚該往哪裡去。善用遊戲包裝盒裡附的地圖會有幫助。
Your car, by the way, is the flashing rectangle. It shows you where you are at all times. You can also figure out what individual buildings are by clicking your EYE cursor on the streets and buildings depicted on the onscreen map to the left.	順帶一提，你的車就是那個閃爍的矩形，隨時顯示你目前的位置。你也可以用「眼睛」游標點擊左側畫面地圖上描繪的街道與建築物，來辨認各個建築物是什麼。
The three arrow controls on the bar just above your dashboard are your turn signals. If you click your HAND cursor on the right signal, at the next corner you will automatically turn right at a safe speed. The left signal works the same way. If you wish to go straight, click on the straight arrow.	儀表板正上方那排的三個箭頭控制鈕就是你的方向燈。如果你用「手」游標點擊右方向燈，車子會在下一個路口自動以安全速度右轉。左方向燈的用法相同。如果想直行，就點擊直行箭頭。
Sometimes you will see a stop sign appear on the middle bar above the dashboard. This stop sign means you MUST come to a stop at the intersection you're currently headed for. To come to a stop, approach the intersection at 15mph or less. Your car will automatically come to a stop. To continue on, click the HAND cursor on a direction and then click the HAND cursor on the gas.	有時你會看到儀表板正上方的中間位置出現停止標誌。這個停止標誌表示你「必須」在目前正前往的路口停車。要停車，請以時速 15 英里以下接近路口，車子會自動停下來。要繼續前進，先用「手」游標點擊方向，再用「手」游標點擊油門。
The brake and gas pedals are located right next to the turn signals above the dashboard. To increase your speed, click the hand on the gas pedal (the pedal to the right). To decrease your speed, click on the brake. Your maximum speed is 55mph. It's not just a good idea, it's the law.	煞車和油門踏板就在儀表板上方方向燈的旁邊。要加速，用手點擊油門踏板（右邊那個）。要減速，點擊煞車。你的最高速限是時速 55 英里。這不只是個好主意，更是法律規定。
The siren can be activated anytime you're in the squad car. The switch is located below and to the right of the steering wheel. Click your hand on it to activate the siren. Click on it again to turn the siren off. Only the squad car has a siren!	只要你在巡邏車裡，隨時都能啟動警笛。開關位在方向盤的右下方。用手點擊它就能啟動警笛，再點一次就會關閉。只有巡邏車才有警笛！
When the siren is on, you can travel at 65mph and pass through any intersection without slowing down including the stop intersections. You MUST also use the siren to chase offenders.	警笛開啟時，你可以以時速 65 英里行駛，並且不減速通過任何路口，包括該停車的路口。追捕違規者時你「必須」開啟警笛。
When an offender drives past you, turn on your siren to catch them. If you just drive on without a siren, the offender will get away.	當有違規者從你身旁開過時，打開警笛去追捕他們。如果你沒開警笛就繼續開車，違規者就會逃走。
Highway 41, the Lytton Police Station, the County Jail and the Hotel Delphoria can be entered via a driveway. Just indicate you wish to turn into the drive using the turn signal. Some freeway driveways are exits only, so be careful!	Highway 41、Lytton 警局、郡立監獄和 Delphoria 飯店都可以透過車道進入。只要用方向燈表示你想轉進車道即可。有些高速公路的車道只能出不能進，請小心！
You will not need to utilize the steering wheel, ignition, or radio microphone. As long as the keys to the car are in your inventory, you can drive; as long as you have your radio extender in inventory, you can contact Dispatch when necessary.	你不需要操作方向盤、點火開關或無線電麥克風。只要車鑰匙在你的物品欄裡，你就能開車；只要無線電延長器在你的物品欄裡，你有需要時就能聯絡調度台。
That concludes your brief tutorial of the Police Quest Driving Interface. If you're unsure as to the purpose of any of the above-dashboard icons, merely click the EYE cursor on the icon for an explanation of its use. We now leave the driving to you.	以上就是《Police Quest》駕駛介面的簡短教學。如果你不確定儀表板上方任何圖示的用途，只要用「眼睛」游標點擊該圖示，就會看到用途說明。接下來就交給你來開車了。
That's just what you thought you saw.	那只是你以為自己看到的東西。
You speak but no answer is forthcoming.	你開口說話，卻沒有得到回應。
It's an address book filled with interesting notations.	這是一本寫滿有趣註記的通訊錄。
Always ready for action you quickly make sure your piece is loaded. You also make sure your gun is loaded.	時刻準備行動的你，很快確認了配槍已上膛。你也確認了手槍已上膛。
These are your spare bullets in a convenient, not to mention potentially life saving, speed-loader.	這是你的備用子彈，裝在方便使用、而且可能救你一命的快速裝彈器裡。
It's the key to your personal car, a sleek Camaro.	這是你私家車的鑰匙，一輛時髦的 Camaro。
That's your computer access card.	這是你的電腦存取卡。
It's the license of Bill Barnum, your DUI suspect.	這是 Bill Barnum 的駕照，你那位酒駕嫌犯的。
This is your weapon, a wooden gripped .357 magnum.	這是你的配槍，一把木柄的點357麥格農。
These are your handcuffs. Fortunately, you remembered to remove them from the bedposts before coming to work this morning.	這是你的手銬。幸好你今天早上出門上班前記得把它們從床柱上拿下來。
This is the Hoffman arrest report. Inside are two licenses, one Hoffman's, the other one belonging Leroy Pierson. He looks remarkably like Hoffman.	這是 Hoffman 的逮捕報告。裡面有兩張駕照，一張是 Hoffman 的，另一張屬於 Leroy Pierson。他長得跟 Hoffman 出奇地像。
This is the key to one of the best little hotel rooms that can be rented by the hour.	這是一間可以按小時計費、堪稱一時之選的小旅館房間鑰匙。
What can be said. Anyonme who wears these is going to look like a Miami Vice reject. Oh, that's right. You have to wear them. Sorry.	能說什麼呢。戴上這個的人看起來會像從《邁阿密風雲》被刷掉的角色。喔對了，你非戴不可。抱歉啦。
