A few condos.	幾間公寓大樓。
The main buildings of Lytton Community College, a non-residential school.	Lytton 社區大學的主要建築群，這是一所不提供住宿的學校。
The Richman Center, a small museum and performing-arts playhouse set in a pleasant little park. You've never been there on an unofficial basis; the common wisdom is that you have to be a "rich man" to afford a ticket.	The Richman Center，一座小型博物館兼表演藝術劇場，座落在一座怡人的小公園裡。你從沒以私人身分去過那裡；一般人都說，得是個「有錢人」才買得起票。
***block 8, overlay 773: theoretically you shouldn't get this message.	***block 8, overlay 773: theoretically you shouldn't get this message.
A small country club.	一間小型鄉村俱樂部。
Fast-food joints and other small shops.	速食店和其他小商店。
A few of the trendier stores.	幾間比較時髦的商店。
The Lytton Community College's football stadium and natatorium. As with many towns, there's more pride in Lytton's football scores than in its academic scores.	Lytton 社區大學的美式足球場和室內游泳館。就像許多城鎮一樣，Lytton 對美式足球戰績的驕傲，遠勝過對學業成績的驕傲。
*** block 13, overlay 773 (theoretically we never get this message)	*** block 13, overlay 773 (theoretically we never get this message)
*** block 14, overlay 773 (theoretically we never get this message)	*** block 14, overlay 773 (theoretically we never get this message)
Lytton's hotly-debated nuclear power plant. You tend not to think about its presence, yet you know from your own experience with public utilities that what's touted as "100% safe" is never anything of the sort.	Lytton 那座爭議不斷的核能發電廠。你通常不太去想它的存在，但憑你對公共事業的了解，你很清楚凡是號稱「百分之百安全」的東西，從來就沒有一項真的安全。
The Lytton Public Library. It's been years since you've actually taken anything out there. Still, you'd miss it if it wasn't there.	Lytton 公共圖書館。你已經好幾年沒真的從那裡借過東西了，但要是它不在了，你還是會想念它。
Stores and boutiques.	商店與精品店。
***block 18, overlay 773, this should never come up since block 12 takes care of the message.	***block 18, overlay 773, this should never come up since block 12 takes care of the message.
Stores and restaurants.	商店與餐廳。
A mini-mall of shops and restaurants.	一座由商店和餐廳組成的小型購物中心。
A field, lying fallow this year.	一片今年休耕的田地。
A parking lot, often filled to overflowing on game days at the stadium.	一座停車場，球場比賽日常常爆滿。
More farmland. Every few years they grow cabbage here, much to the dismay of everyone living or working within several blocks. This year, you've been spared: potatoes.	更多的農地。每隔幾年他們就會在這裡種高麗菜，讓方圓好幾個街區的居民和上班族都叫苦連天。今年你們比較幸運：種的是馬鈴薯。
A shabby and dangerous area kitty-corner from the village green, used mostly by vagrants and pushers who conduct business under the highway.	村莊綠地斜對角的一塊破敗又危險的區域，主要是流浪漢和毒販在高速公路橋下做生意的地方。
Caffeine Carol's, one of your hangouts. Next door is Wino Willy's, one of the more revolting biker bars.	Carol 咖啡城堡，你常去的地方之一。隔壁是 Wino Willy 酒館，是那種讓人退避三舍的重機騎士酒吧。
Stores and automotive repair shops.	商店與汽車保養廠。
The Lytton Waldruff-Hilltowne, the classiest hotel for miles around.	The Lytton Waldruff-Hilltowne，方圓幾英里內最高檔的飯店。
Glass-and-chrome office buildings, the type that reflect the glare of the sun in your eyes when you're driving on the highway.	玻璃帷幕加鍍鉻外觀的辦公大樓，就是那種你開車經過高速公路時，會把陽光反射得刺眼的那種。
On- and off-ramps for Highway 41.	Highway 41 的上下匝道。
The Dooley Apartments. No relation to the Sergeant.	Dooley 公寓。跟 Dooley 警佐沒有關係。
The Deming Apartment Complex, older and shabbier than the apartments next block over...yet with far more personality.	Deming 公寓社區，比隔壁街區的公寓更老舊、更破敗……但個性十足。
Convenience stores, restaurants, and deluxe parking under the highway.	便利商店、餐廳，還有高速公路橋下的高級停車場。
Dogg Park, a nice little place if you watch your step.	Dogg Park，只要你小心腳下，是個不錯的小地方。
Lytton General Hospital. You wonder why they couldn't come up with a a more original name.	Lytton 總醫院。你很好奇他們怎麼想不出更有創意一點的名字。
Nanotech Office Complex. You hate to think of what they're concocting up there.	Nanotech 辦公複合大樓。你光想到他們在裡面搞什麼名堂就頭皮發麻。
A little park area with a playground for the kiddies, though there are some unsavory goings-on under the highway pillars.	一小片附設兒童遊樂場的公園，不過高速公路橋墩下偶爾會有些不太光彩的勾當。
A small shopping center with an "adult" bookstore and a rent-to-own place.	一座小型購物中心，裡面有一間「成人」書店和一家租賃買斷店。
The Blue Room, a favorite cops' hangout.	The Blue Room，警察最愛去的地方。
Lytton Retirement Village. It's been cited a few times for health code violations, but from what you hear, it's better than 90% of the other retirement homes.	Lytton 安養社區。它曾經好幾次因違反衛生法規被開罰，但據你所知，它還是比九成的其他養老院都好。
Chain restaurants. You eat at these places more than you like to admit, but you're no chef.	連鎖餐廳。你在這種地方吃飯的次數，多到你自己都不太想承認，但你也不是什麼廚藝高手。
Lytton's biggest and swankiest mall. If a foreign power ever wanted to wipe out Lytton with one fell swoop, they'd hit this mall any weekend.	Lytton 最大、最豪華的購物中心。要是哪個外國勢力想一舉端掉整個 Lytton，隨便挑個週末攻擊這座商場就行了。
An office building, filled with foreign-owned corporations.	一棟辦公大樓，裡面全是外資企業。
The Lytton Fire Department. Overworked and underpaid...just like you.	Lytton 消防局。工作過量、薪水過低……跟你一樣。
