Which book?	哪一本書？
You place the notebook back in the briefcase.	你把筆記本放回公事包。
You put your pen back into the briefcase.	你把筆放回公事包。
There's nothing left of importance.	沒有其他重要物品了。
Your briefcase contains your pen, a notebook, and your Official LPD ticket book.	你的公事包裡有筆、筆記本和 LPD 官方罰單簿。
Your notebook remains in your briefcase.	你的筆記本仍在公事包裡。
Your pen remains in your briefcase.	你的筆仍在公事包裡。
Your ticket book remains in your briefcase.	你的罰單簿仍在公事包裡。
Where did you put it?	你把它放哪裡了？
"Say, Sonny, do you know how to tell the difference between an oral and rectal thermometer?"	「Sonny，你知道怎麼分辨口腔體溫計和肛門體溫計嗎？」
"By the taste."	「靠味道。」
"Well, see you later. I'm late for a date to raise my caffeine level."	「好，待會見。我約了人提升咖啡因濃度，快遲到了。」
"Can you believe that Morris Fudley? Every day he showers here, 'cause he's too cheap to shower at home!"	「你相信 Morris Fudley 嗎？他每天都在這裡洗澡，因為他小氣到不肯在家洗！」
"Boy, what a hangover I have! I shoulda left the Blue Room earlier last night."	「老天，我宿醉得真厲害！昨晚我應該早點離開 Blue Room。」
"Do you know the best thing about this shower, Sonny?"	「Sonny，你知道這間淋浴間最棒的地方是什麼嗎？」
"It's free."	「免費。」
"Too bad you have to work, Sonny," says Fudley. "I'm 10-10. It's beer time for me."	Fudley 說：「可惜你得工作，Sonny。我已經 10-10。該喝啤酒了。」
"You'd better get on your beat before Sergeant Dooley catches you blowing off department time."	「你最好在 Dooley 警佐發現你浪費勤務時間前回到崗位。」
This is the Lytton PD locker room.	這是 Lytton 警察局的更衣室。
"You wouldn't enjoy it. I'd just lie there!"	「你不會喜歡的。我只會躺在那裡！」
"Sonny, I heard a rumor that Sweet Cheeks Marie has the hots for you! You'd better watch your step 'cause those hookers will put their hooks in you before you know it!"	「Sonny，我聽說 Sweet Cheeks Marie 對你有意思！你最好小心，因為那些妓女會在你察覺前把你牢牢勾住！」
"Speaking of girls, that 'Hoochie Coochie' Hannah is sure one spicy dancer! She drove the guys completely crazy!"	「說到女孩，那個『Hoochie Coochie』Hannah 真是火辣舞者！她讓男人們完全瘋狂！」
"This dude was so wired, he was nude break-dancing on loose gravel. His back looked like raw meat!	「那傢伙嗨到不行，竟然在碎石上裸身跳霹靂舞。他的背看起來像生肉！」
"Can you believe that Morris Fudley? I hid all the soap and he's still in there showering. I wonder if his wife goes down to the river to bathe?"	「你相信 Morris Fudley 嗎？我把肥皂全藏起來，他還是待在裡面洗澡。我想知道他老婆是不是去河邊洗澡？」
"I'm going to write a memo about this hot water situation. This place never has enough hot water! I, for one, think we should be able to take longer, more comfortable showers."	「我要寫備忘錄反映熱水問題。這裡的熱水永遠不夠！至少我認為我們應該能洗更久、更舒服的澡。」
"You know as well as I do: Dooley doesn't like cops who waste time."	「你和我都知道：Dooley 不喜歡浪費時間的警察。」
