Comin' up.	馬上來。
Here's your drink, sir.	先生，您的酒來了。
Whitey! Hey, Whitey! Come on over here, you sexy thang! Don't be shy, you know I can't resist you!	Whitey！嘿，Whitey！過來這邊嘛，你這性感尤物！別害羞啦，你知道人家沒辦法抗拒你的！
Marie is laying it on a little thick. You take a deep breath, muster up your best "gangster" attitude, and smile at her dashingly.	Marie 演得有點浮誇。你深吸一口氣，擺出你最拿手的「黑幫」架式，帥氣地對她一笑。
Oh, Whitey! You look terrific, honey! I haven't seen you in ages, just ages! Oh, what did I ever do without you, baby!	喔，Whitey！你看起來棒極了，親愛的！我好久好久沒見到你了，真的好久！喔，沒有你我以前到底是怎麼過的，寶貝！
Why, if it isn't the lovely Sweet Cheeks Marie. You look fantastic your own self, baby. I missed you something fierce.	哎呀，這不是可愛的 Sweet Cheeks Marie 嗎。妳自己也美得很，寶貝。我可想妳想得緊呢。
Whitey, you're just as handsome as I remember you.	Whitey，你還是跟我記憶中一樣英俊。
Why, thank you, sweetheart.	哎呀，謝了，甜心。
Hey! Where do you think you're going, buddy, get away from there!	嘿！你以為你要去哪，老兄，離那裡遠一點！
Hmm, 100% polyester linen.	嗯，百分之百聚酯纖維亞麻布。
The tables are covered with fancy white tablecloths.	桌上鋪著華麗的白色桌布。
While it'd be perfectly in character for Whitey to give the waitress a sly pinch on the buttocks, you don't want to risk getting bounced out of the bar.	雖然對 Whitey 這個角色來說，偷捏女服務生屁股一把完全合情合理，但你不想冒著被趕出酒吧的風險。
You take a look at the waitress. She's a little thinner than your average American woman. At the same time, you get the distinct impression that she's also a little peppier than normal.	你打量了一下女服務生。她比一般美國女性略瘦一些。同時，你也明顯感覺到，她似乎比一般人更有活力一點。
She ignores you. Perhaps she's busy with occupied tables.	她沒理你。也許她正忙著招呼其他桌的客人。
Stop trying to be Sherlock Holmes. There's nothing on the baseboard.	別學 Sherlock Holmes 辦案了。踢腳板上什麼都沒有。
The baseboard is clean and unscuffed. You don't suppose too many rats scurry along that sucker.	踢腳板乾乾淨淨，沒有刮痕。你猜應該沒什麼老鼠會沿著這玩意兒竄來竄去。
Get a life, Sonny.	Sonny，去找點正經事做吧。
You'd really like this carpet, if only it weren't peach.	你其實還蠻喜歡這張地毯的，可惜它是蜜桃色。
Still more of that fancy Art Deco stuff.	還是那些花俏的裝飾藝術風格擺設。
Try your key, hotshot.	拿你的鑰匙試試看吧，老兄。
You tap lightly on the door. You hear muffled groans and snorts.	你輕輕敲了敲門。你聽到裡面傳來悶悶的呻吟聲和鼾聲。
You turn the key, and open your door. Gotta love that "hotel room floral spray" smell!	你轉動鑰匙，打開房門。真是讓人愛不釋手的「飯店房間花香噴霧」味道！
This isn't your room, Bonds. Your key won't work.	Bonds，這不是你的房間。你的鑰匙打不開。
It's the door to room 202.	這是 202 號房的門。
It's a door. On closer inspection, your keenly honed senses reveal that this is room 202 - your room.	這是一扇門。仔細一看，憑著你敏銳的直覺，你發現這是 202 號房——你的房間。
It's room 302.	這是 302 號房。
From inside, you hear a muffled "Huh? Whu? Hey! I'm tryin' to sleep!"	你聽到裡面傳來含糊的聲音：「嗯？什麼？嘿！我正在睡覺耶！」
"SO TAKE OFF!"	「那就滾開啦！」
Boy, some people sure are cranky when they wake up.	哎，有些人一被吵醒脾氣還真差。
Get a clue, Columbo! That won't open doors.	醒醒吧，Columbo！那玩意兒打不開門的。
The button, Bonds, the button.	按鈕，Bonds，是按鈕。
It's the elevator.	這是電梯。
Quit pawing the elevator.	別再亂摸電梯了。
There's a lot of fancy Art Deco stuff over the elevator. You're still trying to decide if you like it.	電梯上方有不少花俏的裝飾藝術風格擺飾。你還在猶豫自己到底喜不喜歡。
Cut it out, Bonds.	夠了，Bonds。
They were elevator lights on the ground floor. What makes you think they'll be any different here?	那些在一樓也不過是電梯燈號。你憑什麼覺得這裡的會不一樣？
The button doesn't respond. Judging by the keyhole next to the elevator, only certain people are allowed access to the Penthouse.	按鈕沒有反應。從電梯旁的鑰匙孔看來，只有特定人士才能進入頂樓套房。
It's the selection of buttons that allows you to choose your destination floor.	這排按鈕讓你選擇要去的樓層。
It doesn't have a switch. The hotel controls it.	這個沒有開關，是飯店統一控制的。
Nice wall fixture. It kind of reminds you of a little alien spaceship.	不錯的壁燈。讓你有點聯想到小小的外星太空船。
Even if you began taking hormone shots, Bonds, you'll never be that tall.	Bonds，就算你開始打荷爾蒙針，也不可能長那麼高。
It's more of that snazzy decorative paneling.	又是那種花俏的裝飾壁板。
This is the second floor hallway of the semi-swank Hotel Delphoria.	這是 Delphoria 飯店二樓走廊，裝潢算是半奢華風格。
This is the third floor hallway of the Hotel Delphoria.	這是 Delphoria 飯店三樓走廊。
ZZZZZZZZZZZZZZZ...	ZZZZZZZZZZZZZZZ……
