5'11 195' black/brown	5呎11吋 195磅 黑髮／棕眼
IDENTIFYING MARKS,	特徵、
SCARS, TATTOOS, ETC	疤痕、刺青等
petty theft	輕竊盜
Tattoo small flower	刺青：小花圖案
above left nipple	位於左胸乳頭上方
TIME OF ARREST  15:45	逮捕時間 15:45
DATE OF ARREST 9/7/83	逮捕日期 1983 年 9 月 7 日
CHARGES	罪名
Suspicion of murder,	涉嫌謀殺，
auto theft,	汽車竊盜，
narcotics possession,	持有毒品，
evading arrest,	拒捕，
concealed weapon	私藏武器
reckless driving	危險駕駛
BAIL $500,000.00	保釋金 $500,000.00
License #A472457, in	駕照號碼 #A472457，
Expired ILL. driver's	已過期的伊利諾州駕照，
name of "M. Hoffman"	持照人姓名為『M. Hoffman』
License #C84776356,	駕照號碼 #C84776356，
name of "L. Pierson"	持照人姓名為『L. Pierson』
EVIDENCE FORM	證物表
5 lbs. marijuana,	大麻 5 磅，
est. value, $4,000.00	估計價值 $4,000.00
1 lb. cocaine, est.	古柯鹼 1 磅，估計
value, $250,000.00	價值 $250,000.00
1 S&W .45 automatic	S&W .45 口徑自動
handgun SN SW9764912	手槍，序號 SW9764912
1 black notebook	黑色筆記本一本
VEHICLE INFORMATION	車輛資訊
'83 Cadillac deVille,	83 年份 Cadillac deVille，
blue (orig. blue)	藍色（原廠藍）
Stolen from	失竊自
LICENSE #LOP1238	車牌 #LOP1238
Registered to:	登記車主：
Malcolm Washington	Malcolm Washington
234 W Center St	234 W Center St
Temporary CA driver's	加州臨時駕照
"Freddie the Freak"	『Freddie the Freak』
Negro	黑人
ALIAS	別名
NAME	姓名
5'3 219' black/green	5呎3吋 219磅 黑髮／綠眼
WANTS	通緝罪名
purse snatching	搶奪皮包
assault and battery	傷害罪
METHOD OF OPERATION	作案手法
grabs victim, bites	抓住被害人，咬
neck, snatches	頸部，搶走
purse, runs away	皮包後逃跑
James Jenkins	James Jenkins
"Jimmy the Junky"	『Jimmy the Junky』
Department.	處。
6'4 160' black/brown	6呎4吋 160磅 黑髮／棕眼
Illegal flight to	為了規避
avoid prosecution on	毒品罪起訴而
narcotic violations.	潛逃在外。
Last seen heading	最後一次目擊他朝
south like an out-of-	南方疾駛而去，宛如一枚失控
control rocket.	的火箭。
Francis Malone	Francis Malone
4'9 160' black/blue	4呎9吋 160磅 黑髮／藍眼
Warrant #Q372	通緝令 #Q372
"Short Fat Fanny"	『Short Fat Fanny』
steals anything she	凡是能藏在身上的東西
can fit on her body	她都偷
narcotics violations	毒品違規
Winford W. Watson	Winford W. Watson
"Winnie the Weasel"	『Winnie the Weasel』
5'8 180' bald/brown	5呎8吋 180磅 禿頭／棕眼
numerous tattoos	多處刺青
narcotics, weapons,	毒品、槍械，
and armed robbery	以及持械搶劫
LOCATION OF SUBJECT	嫌犯行蹤
has been seen with a	曾與一名
UPDATE	最新消息
Last seen by several	最後被數名
witnesses early Wed.	目擊者於週三清晨
morning. Statements	目擊。證詞
indicate Freddie	顯示 Freddie
Justinfletch was at	Justinfletch 當時人在
intersection of	路口
Center and 3rd Sts	Center 街與 3rd 街
directing traffic	在指揮交通
while totally nude.	當時全身赤裸。
When officers arrived	當警員抵達時
"the Freak" could	『the Freak』已經
not be found.	不見蹤影。
Jenkins also wanted	警方同時也想以
for questioning in	涉案為由，就
several West Side	多起西區
daylight burglaries.	白晝入室竊盜案對 Jenkins 進行問話。
ADDITIONAL	補充事項
If arrested, notify	如遭逮捕，請通知
Officer James Lucas,	James Lucas 警員，
Lytton Probation	Lytton 觀護
UNUSUAL TRAITS	特殊特徵
Halitosis to the	口臭嚴重到
magnitude equal to	程度堪比
the breath of	……的口氣
APPROACH WITH CAUTION	謹慎接近
will not hesitate to	絕不會遲疑，
knock you down and	會把你撂倒，並
spit in your eyes	朝你眼睛吐口水，
while she breaths	一面朝你臉上
heavily into your	猛烈喘氣，
your face, thereby	藉此
junkie hooker known	——這名人稱
as "Big Bonnie"	『Big Bonnie』的癮君子妓女
NOTE	備註
has large red & blue	頭頂有一大片紅藍
tattoo of sinking	相間的沉船
ship on top of head	圖案刺青
nauseating you to	讓你噁心到
the point of	幾乎要吐
Male 5'11 197#	男性 5呎11吋 197磅
Which file?	要看哪一份檔案？
You can only read one file at a time.	你一次只能閱讀一份檔案。
You're not looking at a folder.	你並沒有看著資料夾。
The file drawer contains five folders, each labeled with the name of the case.	檔案櫃裡放著五個資料夾，每個都標示著案件名稱。
You remove the Hoffman file from the drawer.	你從抽屜裡取出 Hoffman 的檔案。
Good thinking; maybe this will be of use.	想得好；這也許派得上用場。
You return the folder to the file drawer.	你把資料夾放回檔案櫃。
You ARE looking at a file!	你這不是正看著一份檔案嗎！
COMPUTER DOWN.	電腦當機。
No record for input.	查無此輸入項目的紀錄。
45 caliber,	.45 口徑，
automatic handgun	自動手槍
