You see nothing special.	你沒看到任何特別的東西。
Why do that?	為什麼要那樣做？
Nah. Just wear it.	不用，直接穿上就好。
An interesting approach -- but fatal!	方法挺有意思——但會致命！
What are you going to do? Scream, and pray that Dispatch will hear you?	你打算怎麼辦？尖叫，然後祈禱調度台聽得見？
load gun	裝填槍械
draw gun	拔槍
fire gun	開槍
As you look into the car, you wonder, "Can this be happening?"	你望向車內，心想：「這種事真的會發生嗎？」
Who cares?!	誰在乎啊？！
Again??	又來？？
Do you have a kidney problem?	你有腎臟問題嗎？
My gawd! Do you have a weak sphincter?	我的天！你的括約肌很無力嗎？
You don't have them.	你沒有那些東西。
You don't have it.	你沒有那件物品。
You already have it.	你已經有那件物品了。
Not here!	不是這裡！
You're not close enough.	你離得不夠近。
You can't see the Help Screen right now. Try again elsewhere.	你現在看不到說明畫面。換個地方再試。
You are carrying a blank notebook.	你帶著一本空白筆記本。
You are carrying a blank notebook.	你帶著一本空白筆記本。
You don't need 	你不需要
Just do that yourself.	那你自己做吧。
How can you do that?	你怎麼能那樣做？
Using what?	要用什麼？
