"Hey, thanks a lot!"	「嘿，非常感謝！」
"You're welcome."	「不客氣。」
"I'm truly sorry, sir. I honestly did not even see that red light. Is there anything I can do to convince you to let me off? And, I DO mean anything!"	「真的很抱歉，長官。我確實沒看到紅燈。要怎樣你才肯放過我？任何事都可以！」
"Who cares?!"	「誰在乎啊？！」
"My phone number is 555-4369," she says with a smile, "Give me a call some time."	她笑著說：「我的電話是 555-4369，有空打給我。」
"Guys like you make me want a big dip of snuff! You never give a decent girl a break! You just hassle people!"	「你這種人讓我想大嚼一口鼻煙！你從不放過正經女孩！只會找人麻煩！」
"My name is Helen. Helen Hots," she says as heat detectors go off for miles around. "What's yours, Handsome?"	「我叫 Helen，Helen Hots。」她說，周圍的熱感測器彷彿全都響了起來。「帥哥，你叫什麼？」
"Thanks for not giving me a ticket, Officer!"	「謝謝你沒有開我罰單，警官！」
It is not wise to leave just as briefing is ready to start!	簡報即將開始時離開可不是明智之舉！
Sgt. Dooley will play "kick the can" with yours if you leave when he's ready to begin his briefing. Get to your desk!	Dooley 警佐準備開始簡報時你還離開，他會把你的屁股當足球踢。快回座位！
There is a newspaper lying on the table.	桌上放著一份報紙。
The briefing room contains a single podium and four report writing tables. %m16	簡報室裡有一座講台和四張寫報告用的桌子。%m16
On the far wall are eight pigeonholes. On the front wall there is a blackboard.	遠牆上有八個信件格，前牆上有一塊黑板。
The shower IS on!	淋浴已開啟！
The shower IS Off!	淋浴已關閉！
Congratulations. Most players don't enter a shower while fully-clothed. You've just lost a point.	恭喜。大多數玩家不會穿完整制服走進淋浴間。你剛失去一分。
You'd better unlock your locker first!	你最好先打開置物櫃！
You've been docked one point for leaving the shower running.	你讓淋浴一直開著，被扣了一分。
Aaah... there's nothing like a nice, hot shower!	啊……沒有什麼比舒服的熱水澡更棒了！
Sorry, but your crime-stopping just can't wait!	抱歉，但制止犯罪可不能等！
The Lytton PD locker room has two rows of full-sized, double-stacked lockers with a bench between them, two showers, and three toilet stalls.	Lytton 警局更衣室有兩排全尺寸雙層置物櫃，中間放著長椅，另有兩間淋浴間和三個廁所隔間。
If you had any points, you would have lost them for leaving the shower running. Remember, Sonny, "waste not, want not!"	要是你還有分數，淋浴沒關會被扣分。記住，Sonny：「節約才能不缺！」
Don't you feel foolish standing in the shower fully clothed? If you had any points, you'd have lost some for this!	穿著整套衣服站在淋浴間裡不覺得丟臉嗎？要是你有分數，這樣會被扣掉一些！
"Hey! Somebody die in there?!"	「嘿！裡面有人死了嗎？！」
"Use the next stall! I'm giving birth to a sergeant in here!"	「用下一間！我正在這裡生一個警佐！」
"I'd love to visit with you, Sonny, but there just isn't enough room in here for both of us!"	「我很想和你聊天，Sonny，但這裡沒有足夠空間容納我們兩個！」
"I'm taking time out from any discussions right now, buddy boy!"	「老兄，我現在暫時不想討論任何事！」
Detective Laura Watts wanders into the room, giggles, then compliments you on the handsome towel you're wearing. "Boy, are YOU out of uniform," she laughs!	Laura Watts 警探走進房間，咯咯笑著稱讚你身上那條帥氣的毛巾。「天啊，你真的沒穿制服！」她笑道。
"Hey, Sonny! You're off duty, aren't you? Some of us are going by the Blue Room to throw Jack a little surprise party. After you change clothes, why don't you stop by?"	「嘿，Sonny！你現在下班了，對吧？我們有些人要去 Blue Room 為 Jack 辦個驚喜派對。換好衣服後過來吧？」
"The dancer we hired for Jack's party is something else!"	「我們為 Jack 派對請的舞者真是不得了！」
"See you there!"	「到時見！」
"Hold on, Sonny. We've got work to do."	「等等，Sonny。我們有工作要做。」
"Sonny, one of my informants just told me a drug deal is going down soon in Lytton City Park" says Laura, getting into your car. "Lieutenant Morgan wants us to stake it out and see what we can do."	Laura 上車時說：「Sonny，我的一名線人剛告訴我，Lytton 市立公園很快會有毒品交易。Morgan 中尉要我們埋伏觀察，看看能做什麼。」
"Well, Cowboy, let's roll!"	「好了，牛仔，我們出發！」
Having performed the prescribed, walk-around safety check of your vehicle, you're now ready to hit the streets.	你已完成規定的繞車安全檢查，現在可以上街執勤了。
This is an unmarked vehicle used in undercover operations. It was confiscated in an earlier arrest.	這是一輛用於臥底行動的無標誌車輛，先前逮捕行動中被沒收而來。
This is your sports car! You can't really afford one, but it's your one real luxury in life! Besides, you have few other financial obligations.	這是你的跑車！你其實負擔不起，但它是你人生唯一真正的奢侈品！何況你也沒什麼其他財務負擔。
You open the trunk and discover a clear plastic bag containing a white powdery substance resembling cocaine and another clear plastic bag containing a green leafy substance resembling marijuana.	你打開後車廂，發現一個透明塑膠袋，裡面是疑似古柯鹼的白色粉末；另一個透明塑膠袋裡則是疑似大麻的綠色葉片。
"Just leave that stuff in the trunk, Sonny. I'll impound it along with the car."	「那些東西留在後車廂就好，Sonny。我會連車一起扣押。」
"Ok, Jack," you say, "See you back at the station."	你說：「好的，Jack。警局見。」
