Laura enters the jail and says, "Hey, Sonny! I need to speak with you for a moment."	Laura 走進監獄說：「嘿，Sonny！我需要和你談一下。」
"A position has opened in the Narcotics Division, and according to Lieutenant Morgan, it will be filled by a veteran street cop."	「緝毒組有個職缺，Morgan 中尉說會由資深街頭警察擔任。」
"If you're interested, submit a memo to Lieutenant Morgan as soon as possible. It would be a great chance for you to get out of that uniform for awhile."	「如果你有興趣，儘快向 Morgan 中尉提交備忘錄。這是讓你暫時脫下制服的大好機會。」
The jailer yells, "Hey, Hot Pencil! Come over here."	獄警喊道：「嘿，Hot Pencil！過來這裡。」
"I just hung up from talking to Dooley, and is he hot!"	「我剛和 Dooley 講完電話，他可火大了！」
The jailer continues, "He wants you back at the office on the double!"	獄警繼續說：「他要你立刻回辦公室！」
The jailer says, "What can I do for you, Hot Pencil?"	獄警說：「我能為你做什麼，Hot Pencil？」
"What are you charging him with?" the jailer asks.	獄警問：「你要以什麼罪名控告他？」
You remove and inventory the prisoner's personal property, then hand it to the jailer with the booking slip.	你取下並清點囚犯的個人物品，再和收監單一起交給獄警。
The jailer takes the prisoner's property, then says, "Ok, Monty, remove this gentleman's 'cuffs and place him behind 'door number one.'"	獄警接過囚犯物品，說：「好，Monty，解開這位先生的手銬，把他放到『一號門』後面。」
"If he throws up on the floor," the jailer laughs, "you're gonna clean it up, Bonds!"	獄警笑道：「如果他吐在地板上，你就得清理，Bonds！」
"Gee, thankssh a lot, Ociffer," says the drunk. "I'm so happy, I could just s^%$!"	醉漢說：「哎呀，非常謝謝你，警官。我太高興了，簡直想要 s^%$！」
Just as Laura leaves, the jailer yells at you...	Laura 正要離開時，獄警對你喊道……
You remove the 'cuffs and place them in your handcuff case.	你解開手銬，把它們放進手銬套。
"Whew! Boy, that feels good," says the drunk. "Those 'cuffs were so tight I thought my hands had fallen off."	醉漢說：「呼！真舒服。」那些手銬太緊了，我以為手都掉了。」
"Well, are you going to remove his 'cuffs or not?" asks the jailer.	獄警問：「所以你到底要不要解開他的手銬？」
"Are you deaf?" prompts the jailer. "I said, 'what can I do for you?'"	獄警提醒：「你聾了嗎？我說『我能為你做什麼？』」
"Are you going to book this dude or not?"	「你到底要不要把這傢伙收監？」
"Listen, bud, I need to talk to you before you leave. Just drag 'em on over here."	「聽著，老兄，你離開前我得和你談談。把他拖過來就好。」
The jailer has difficulty hearing you at this distance.	獄警在這個距離很難聽見你。
"Ok, ok!" says the jailer, "I heard you."	獄警說：「好，好！我聽到了。」
"Any time now, you can remove the 'cuffs."	「現在你可以解開手銬了。」
Thinking about grabbing your gun, the drunk delivers a blow to the top of your head. You fall to the floor, unconscious.	醉漢想到要搶你的槍，朝你頭頂猛擊。你倒在地上失去知覺。
Suddenly he realizes what a bad decision he's made, but by then it's too late for you. You're a pile on the floor. Next time, lock up your gun before you enter a jail!	他突然意識到自己做了多糟的決定，但對你來說已經太遲。你癱在地板上。下次進監獄前，先把槍鎖起來！
"Well," asks the jailer, "are you going to remove his 'cuffs or not?"	獄警問：「所以你到底要不要解開他的手銬？」
After a short wait, the jailer asks, "Are you going to book this dude or not?"	等了一會兒，獄警問：「你到底要不要把這傢伙收監？」
"My goodness gracious!" says the jailer. "Here stands Bonds again on behalf of the people."	獄警說：「我的天啊！Bonds 又代表人民站在這裡。」
"This is one bad dude," says the jailer. "What are you booking him for, Sherlock?"	獄警說：「這傢伙很糟。Sherlock，你要用什麼罪名收監他？」
The jailer responds, "Ok, %w1 will do. Fill out the booking slip and give me his property!"	獄警回答：「好，%w1 就行。填好收監單，把他的物品給我！」
"You can't book anyone on a %w1!"	「你不能以 %w1 收監任何人！」
Deep down you know this sleeze bag is not the man he claims he is. You book him as "Marvin Hoffman" anyway, hoping his numerous felony charges will keep him in the slammer long enough for you to ascertain his true identity.	你心底知道這個卑鄙傢伙不是他自稱的那個人。你仍以「Marvin Hoffman」名義收監他，希望眾多重罪指控能讓他在牢裡待到你查明真實身分。
You hand the jailer the booking slip and the suspect's property.	你把收監單和嫌犯物品交給獄警。
"Ok, Bonds," the jailer says, "you can remove his 'cuffs and place Mr. So-Called "Marvin Hoffman" into cell number one."	獄警說：「好，Bonds，你可以解開他的手銬，把所謂的『Marvin Hoffman 先生』放進一號牢房。」
"You little meter maids can't keep me in here!" he shouts.	他喊道：「你們這些小小開單員關不住我！」
Hoffman yells, "I'll be out of this tank before you finish your coffee break!"	Hoffman 喊道：「你們喝完咖啡休息前，我就會離開這個牢房！」
"Since my shift is over, I'll see you back at the station."	「我的勤務結束了，回警局見。」
"I received a call from dispatch on the way over here. Dooley wants to see you in his office when you are done here."	「我來這裡途中收到調度台電話。你處理完這裡後，Dooley 要在辦公室見你。」
"If you want to book this crook, I'll need a clue as to the charges."	「如果你想收監這個罪犯，我需要知道控告罪名。」
Jack says, "Well, I see you got that slimeball pusher booked!"	Jack 說：「看來你把那個卑鄙毒販收監了！」
"Your penthouse awaits you, Hoffman!"	「你的頂樓牢房等著你，Hoffman！」
"The car's tucked away and all the evidence is booked. This is one clean bust, my boy!"	「車子藏好了，所有證物也登記完成。這真是一次漂亮的逮捕，小子！」
The jailer seethes, "I hope you know, Bonds, at this very moment Hoffman's lawyer is in the front reception area, bailing that worm out."	獄警怒氣沖沖地說：「Bonds，希望你知道，此刻 Hoffman 的律師就在前台，要把那條蟲保釋出去。」
