"Hello."	「哈囉。」
"'Bye."	「再見啦。」
What's a 	什麼是
%m50%w1?	%m50%w1？
%m50%w2?	%m50%w2？
%m50%w3?	%m50%w3？
%m50%w4?	%m50%w4？
%m50%w5?	%m50%w5？
%m50%w6?	%m50%w6？
%m50%w7?	%m50%w7？
%m50%w8?	%m50%w8？
Sierra	Sierra
-------------	-------------
-------	-------
%g88	%g88
"Again??"	「再一次？？」
Helen Hots	Helen Hots
"What? And, as nice as I have been to you! Why, I gave you my phone number and everything. If you do anything to me, Turkey, I'll file rape charges on you so fast it'll make your head swim! Gawd, what a BUM!"	「什麼？我對你這麼好耶！電話號碼什麼的我都給你了。你敢對我怎麼樣，笨蛋，我馬上告你性侵，告到你頭暈眼花！天啊，真是個廢物！」
"Well, how rude," she says, attempting to be offended. "But, if that's what it takes, I suppose it's all right with me!"	她故作生氣地說：「哼，真沒禮貌！」「不過，如果非這樣不可，我想我也沒意見！」
Marvin Hoffman	Marvin Hoffman
Male 6'0 194#	男性 6呎0吋 194磅
DOB 6/2/56	出生日期 1956 年 6 月 2 日
31 W 104th St	31 W 104th St
Chicago, IL	Chicago, IL
Leroy Pierson	Leroy Pierson
Male 5'10 187#	男性 5呎10吋 187磅
DOB 4/28/55	出生日期 1955 年 4 月 28 日
1134 Beach St	1134 Beach St
Newport, CA	Newport, CA
%g79	%g79
"Mercy, mercy, mercy! If it ain't Sonny 'Big Man' Bonds! How is my favorite cop? You should have been with me last night! I had such a good time, I had to come back to work just to get some rest!"	「哎呀，哎呀，哎呀！這不是『大個子』Sonny Bonds 嗎！我最喜歡的警察最近好嗎？你昨晚真該跟我一起的！我玩得太開心了，還得回來上班才能休息一下！」
"Saaaay, fool! Back out of here just a shade? You gettin' close enough to dance with and lord only knows I did enough dancin' last night!"	「喂，笨蛋！退後一點好不好？你都快貼到可以跳舞了，天曉得我昨晚跳得還不夠嗎！」
"Sho' would be nice if the city fixed some of these vents in here. Smells like one, big, cattle yard after every shift change!"	「要是市政府肯把這裡的通風口修一修就好了。每次換班後，這裡都像個大牛棚一樣臭！」
"Come on, Man! Give me some room before I mop a shine onto those big feet of yours."	「拜託，老兄！讓開一點，不然我要把拖把抹到你那雙大腳上囉。」
"Say, Man! I heard the word from the bird last night. I heard that a fine little lady of the evening by the name of Sweet Cheeks Marie thinks you are the finest, 'USDA Prime Cut' in blue she ever did see!"	「喂，老兄！我昨晚聽到小道消息。聽說有位叫 Sweet Cheeks Marie 的漂亮『夜間淑女』，說你是她見過穿制服最棒的『特選上等肉』！」
"I heard the 'Gremlin' got to ol' Sarge again last night. What a shame! He should learn to leave you people alone."	「我聽說那個『搗蛋鬼』昨晚又整了老警佐一頓。真可惜！他該學學別再煩你們了。」
"Well, if it ain't Sonny 'My Main Man' Bonds!"	「哎呀，這不是我的『好兄弟』Sonny Bonds 嗎！」
"Hey, Brother! You can see I'm still sloppin', moppin', and hoppin' on clothes. I'm gettin sick of this job and I'll bet it shows!"	「嘿，老兄！你看，我還在拖地板、忙東忙西。這工作快讓我煩死了，看我這表情就知道！」
"That's close enough, Turkey. Quit trackin up my floor!"	「夠近了，笨蛋。別把我剛拖好的地板踩髒！」
Say baby, what it is!! Watch out for that wet floor. The last man that came in here, he fell right straight down on his tail bone.	嘿，老兄，怎麼樣啊！！小心地板濕滑。上一個走進來的人，直接一屁股跌坐在地上。
R. J. Jefferson yells, "I sho' do wish you'd walk 'round where I'm workin'!"	R. J. Jefferson 喊道：「我真希望你走路能繞開我正在打掃的地方！」
"I see you's still workin' Narco and you's still in one piece," says Jefferson, the janitor. "You be careful with those dope people. I knew a dude, he got so high, he thought he was a buzzard. He sailed off a five-story building and broke his back in ninty-nine places."	工友 Jefferson 說：「看你還在緝毒組上班，人也還好好的。」「你跟那些嗑藥的人打交道要小心點。我認識一個傢伙，嗑到嗨翻天，以為自己是隻禿鷹，從五層樓高的地方一躍而下，摔斷了九十九處骨頭。」
"Mr. Plainclothes Bonds, himself."	「便衣警察 Bonds 先生，親自大駕光臨啊。」
"Watch out for the floor, man! It's so slippery, you'll look like one of them dudes in the Russian Ice Follies."	「小心地板，老兄！滑得跟溜冰場一樣，你會滑得像俄羅斯冰上表演的那些人一樣。」
"Sonny, you should have been here an hour ago," says R. J. "The boys were crawlin' over each other like rats on a sinkin' ship lookin' for a porthole, when they found out the Chief was a'coming through."	R. J. 說：「Sonny，你一小時前就該在這裡了。」「大夥兒一聽說局長要巡視，全都跟沉船上找艙口逃命的老鼠一樣，爭先恐後地擠成一團。」
He doesn't clean very well, but he sure cleans slow!	他打掃得不怎麼樣，但動作倒是慢得很！
"Woooo wheeee! Lookee whats we gots here!" laughs Jefferson.	Jefferson 笑著說：「哦呵呵！瞧瞧我們這是逮到什麼了！」
Cautiously, you approach the vehicle. The driver appears to be a female in her early twenties. Very female!	你小心翼翼地走近車輛。駕駛看起來是位二十出頭的女性。而且非常有女人味！
%m3 Try moving closer to her door.	%m3 試著靠近她的車門。
She looks deep into your eyes, and says, "What may I do for you, Officer?"	她深情地望進你的眼睛，說：「警官，我能為你做什麼呢？」
She replies in a heated voice, "Just remember, Fish Breath: I'm gonna file a complaint on you! I'll cheat, lie, and do anything possible to get your little fuzz butt in trouble! YOU HEAR ME?"	她怒氣沖沖地回答：「給我記住，臭魚嘴：我要去投訴你！我會欺騙、說謊，用盡一切辦法讓你這個小條子吃不完兜著走！你聽到了沒？」
"Dispatch, this is 83-32. Run wants%m14	「調度，這裡是 83-32。查詢通緝紀錄%m14
"Dispatch, this is 83-32. Check registration%m14"	「調度，這裡是 83-32。查詢車籍登記%m14」
"The car is registered to Helen Hots."	「這輛車登記在 Helen Hots 名下。」
Well, well. Just what every poor, little, rich girl needs; a little red sports car.	哎呀哎呀，這正是每個可憐的富家千金都需要的：一輛紅色小跑車。
You can't see the %w2 from here.	你在這裡看不到 %w2。
 on Ocean, Henry, Mary, Yellow, Mary, George."	，字母依序是 Ocean、Henry、Mary、Yellow、Mary、George。」
There is no reason to do so.	沒有理由這麼做。
"Get lost, jerk!"	「滾開，混蛋！」
She sounds very grateful as she says, "Thank you, Officer! Please call me, and soon!"	她語氣充滿感激地說：「謝謝你，警官！請打電話給我，越快越好！」
You should look at her before you talk to her.	你應該先看看她，再跟她說話。
The gentleman responds to your request, "Da, yas ssshir."	這位先生回應你的要求：「係，長……長官。」
The drunk reminds you, "Es-cuse me, butt cher bloc'in' da door, Ociffer."	醉漢提醒你：「不、不好意思，你擋到門了，警官。」
You're not in the car.	你不在車上。
You can't do that with the suspect inside his car.	嫌犯還在車裡時，你不能這麼做。
You correctly administer the Field Sobriety Test, and are amused as your subject gives his best imitation of a young swan attempting its first takeoff.	你正確地執行了酒測平衡測試，對方使出渾身解數，模仿幼天鵝初次試飛的模樣，把你逗樂了。
There's no need to question him; his problem is obvious!	沒必要盤問他了，他的問題一目了然！
The man fumbles with his wallet, "My license? Uh, yeah, uh, it's, uh, it's right... Here it is!"	那男子笨拙地摸索著皮夾：「我的駕照？呃，對，呃，就在……呃，就在這裡！」
Reluctantly he says, "Uh, ok, wh-where we goin'?"	他不情願地說：「呃，好吧，我、我們要去哪？」
So as not to excite him, you say, "Oh, we're just going to take a little ride to see some friends of yours. It's ok, buddy. Come on."	為了不讓他情緒激動，你說：「喔，我們只是要去兜個風，見見你的一些朋友。沒事的，老兄。走吧。」
"I am!"	「我是啊！」
The drunk begs you, "Could ja 'cuff me in front, please? I'm not feelin' sssho goods."	醉漢求你：「可、可以把手銬銬在前面嗎？拜託，我不太舒……服。」
You think, "He doesn't look dangerous. Sure, why not?"	你心想：「他看起來不危險，好啊，何不呢？」
Not wanting to take a chance, you explain, "I'm sorry, sir, but Departmental Policy dictates all custody arrests shall be restrained by proper handcuffing procedure, and that means 'behind your back.'"	你不想冒險，於是解釋道：「先生，很抱歉，但依局裡規定，所有拘捕都必須依正確程序上銬，也就是『銬在背後』。」
You just fell victim to an old trick. There are two rules to remember: always follow procedures, and never trust a drunk!	你剛剛中了一個老套的圈套。記住兩條規則：永遠遵守程序，絕對別相信醉漢！
You look into the glassy, watery eyes of a middle-aged man. He is certainly feeling no pain!	你望進一位中年男子迷濛、水汪汪的雙眼。他顯然已經醉得毫無知覺！
You hear a voice that sounds like Tiny Tim singing through a mouthful of crackers...	你聽到一個聲音，像是 Tiny Tim 嘴裡塞滿餅乾在唱歌一樣……
..."I didn't do nossshin' wrong, Ociffer."	……「我什麼都沒、沒做錯，警官。」
You take a whiff and detect a strong odor of an alcoholic beverage.	你聞了一下，察覺到一股濃烈的酒味。
You cautiously approach the vehicle and observe one male seated behind the wheel. Rolling down his window appears to be quite a challenge to him!	你小心翼翼地走近車輛，看見一名男子坐在駕駛座上。光是搖下車窗似乎就讓他費盡了力氣！
It's in your car.	它在你車上。
Art Serabian	Art Serabian
Male 5'8" 199#	男性 5呎8吋 199磅
HAIR None	頭髮 無
DOB 12/14/47	出生日期 1947 年 12 月 14 日
2 MacIntosh St	2 MacIntosh St
RESTRICTIONS:	限制：
He can't hear you from this distance.	他隔這麼遠聽不到你說話。
The fresh air smells good!	新鮮空氣聞起來真好！
It looks like a possible DUI.	這看起來像是一起酒駕案件。
Since the information on the driver's license matches the subject, you return his license to him.	由於駕照上的資料與本人相符，你把駕照還給了他。
"Why, Occifer!" lisps the drunk, "I'm as ssssober assss a judge! HIC!"	醉漢含糊地說：「哎呀，警、警官！我可清醒得跟法官一樣呢！打嗝！」
The car belongs to the driver.	這輛車是駕駛本人的。
He is handcuffed!	他已經被上銬了！
Just put him in the car.	把他放進車裡就好。
That is unnecessary.	這沒有必要。
You'd better do more than just write this one a ticket.	你最好別只給這傢伙開張罰單了事。
Sonny! How could you?	Sonny！你怎麼可以這樣？
It's too late to do that now.	現在做這件事已經太遲了。
