You carefully fill in all the necessary information on the citation.	你仔細填妥罰單上的所有必要資料。
This shower is unique. It will give you all the hot water you want for two minutes, or all the ice water you want forever.	這間淋浴間很特別：它會給你兩分鐘想要多少就有多少的熱水，或永遠供應你想要多少就有多少的冰水。
You see uniform trousers crumpled on the floor around a pair of bare legs, and conclude the stall is occupied.	你看見一雙光腿周圍皺著制服長褲，判斷淋浴間有人使用。
One of these all-metal, double-stacked lockers is assigned to you. Finding it is up to you.	這些全金屬雙層置物櫃中有一格屬於你。自己找出來吧。
You carefully pour the bleach on your hair. Now what?	你小心地把漂白劑倒在頭髮上。接下來呢？
With great anticipation, you carefully rinse the bleach from your hair.	你滿懷期待，小心地把頭髮上的漂白劑沖掉。
Now, Sonny, you know this is official evidence. Don't go running off with it!	Sonny，你知道這是正式證物。別拿著它跑掉！
Russ, the keeper of the evidence lockup, says, "Howdy, Sonny! Haven't seen anything with your name on it come in lately."	負責證物保管室的 Russ 說：「嗨，Sonny！最近沒看到寫著你名字的東西送進來。」
Since you're not in uniform, you don't need keys to a patrol car.	既然你沒有穿制服，就不需要巡邏車鑰匙。
"How do you do, Officer? Welcome to the Lytton PD Pharmaceutical and Weaponry Lockup."	「你好，警官？歡迎來到 Lytton 警局藥品與武器保管室。」
Dooley ain't fit to talk to now!	現在不適合和 Dooley 說話！
You lost your radio extender and now you want another?	你弄丟了無線電延伸器，現在還想再拿一個？
There's no need to safety check the patrol car unless you're going to use it.	除非要使用巡邏車，否則不必做安全檢查。
Your marked patrol car features a powerful "V-8" engine choked down with the very latest in smog devices, and purchased from the lowest bidder! It is capable of attaining speeds of up to 87 (or more) miles per hour.	你的標誌巡邏車配備強大的「V-8」引擎，裝上最新的廢氣抑制裝置，還是向最低報價者買來的！最高時速可達 87 英里（甚至更快）。
It seems you have missed one briefing too many. Sgt. Dooley places you on administrative leave, without pay, for five days. Next time, attend briefings!	看來你缺席太多次簡報了。Dooley 警佐將你停職五天，不支薪。下次記得參加簡報！
Your partner will impound these items into evidence, along with the car.	你的搭檔會把這些物品連同車輛一起扣押為證物。
Proper police procedure indicates the suspect should do that!	正確的警察程序要求嫌犯這麼做！
You radio Dispatch, "Run check on personalized license plate 'PRGRMR1.' It appears to be currently registered."	你用無線電呼叫調度：「查詢個人車牌『PRGRMR1』。看起來目前有登記。」
You pat down the gentleman, and find no weapons.	你拍搜這名男子，沒有發現武器。
You key the radio, "Dispatch, this is 83-32. Request one 11-85 at my 10-20."	你按下無線電：「調度，這裡是 83-32。請派一輛 11-85 到我的 10-20。」
You place your subject under arrest for the violation of Lytton City Vehicle Code VC23502, "driving while under the influence."	你以違反 Lytton 市車輛法規 VC23502「酒後駕車」逮捕這名嫌犯。
Attempting to handcuff the suspect while holding your weapon could be hazardous to your health!	手持武器時試圖給嫌犯上銬，可能危及你的性命！
Place him in physical custody before entering his car.	進入他的車子前，先將他正式拘留。
This vehicle almost matches the description of the vehicle mentioned by the witness to the fatal car crash.	這輛車幾乎符合致命車禍目擊者提供的車輛描述。
You think, "The odds of finding a legit registration for this car are slim to none."	你心想：「這輛車有合法登記的機率幾乎是零。」
The suspect is already in the car. You'd better take him to jail!	嫌犯已經在車裡了。最好把他送進拘留所！
"I place you under arrest!"	「我現在逮捕你！」
