junked in 1983.	1983 年報廢。
VIN: C0864213579	車身號碼：C0864213579
C0864213579	C0864213579
3:00 lunch Robert G.	3:00 與 Robert G. 吃午餐
$2,000.00 col. R.G. 	$2,000.00 收自 R.G. 
set up H.D. gambling	安排 H.D. 賭局
blackjack         X 	二十一點        X 
initiate plan for   	啟動計畫，針對   
  dealer R.O.     X 	  R.O. 這個莊家   X 
meet J.M. & L.W.  X 	與 J.M. 和 L.W. 碰面 X 
Cindy $100.00     X 	給 Cindy $100.00  X 
Ammo              X 	彈藥              X 
meet N/W boss       	與西北幫老大碰面    
discipline pimp 1   	教訓皮條客 1        
discipline pimp 2   	教訓皮條客 2        
terminate L.W.    X 	解決 L.W.        X 
terminate J.M.    X 	解決 J.M.        X 
       Sunday       	        星期日       
poker with J.B.   X 	與 J.B. 打撲克    X 
evaluation of drug  	評估毒品            
  saturation plan X 	  滲透市場的計畫  X 
cash profit total   	現金利潤總計        
phone East Coast    	致電東岸            
meet Gutless Wonder 	與 Gutless Wonder 碰面
initiate Plan 3     	啟動第三號計畫      
You leave the suspect's black book undisturbed, to be impounded with the car.	你沒有動嫌犯的記事本，留待隨車一併扣押。
After browsing through the suspect's personal address book, you return it to evidence.	翻閱過嫌犯的私人通訊錄後，你把它放回證物袋。
It's a Smith and Weston .45-caliber, automatic handgun.	這是一把 Smith and Weston .45 口徑自動手槍。
The serial number on the gun is SW9764912.	這把槍的序號是 SW9764912。
You place the gun back in the car to be impounded by Officer Jack Cobb along with the car.	你把槍放回車內，留給 Jack Cobb 警員與車輛一併扣押。
Your partner will take care of the details back at HQ.	細節部分，你的搭檔回總部後會處理。
When you're finished looking at the gun, return it to the glove compartment. %m4	看完這把槍後，把它放回置物箱。%m4
After careful examination of the weapon, you return it to evidence.	仔細檢查過這件武器後，你把它放回證物袋。
"Hey, Jack," you shout, "book this gun!!"	「嘿，Jack，」你喊道，「把這把槍登記入案！！」
The evidence label bears a box marked "Fingerprints," with the initials of Det. Frank Williams, of the Lytton PD Crime Lab.	證物標籤上有一欄標示「指紋」，簽著 Lytton PD 鑑識實驗室 Frank Williams 警探的縮寫姓名。
            THE LYTTON TRIBUNE        	            THE LYTTON TRIBUNE        
 DOPE IN THE CITY  \\| PRESIDENT HICKLE	 毒品入侵本市  \\| Hickle 總統
The city of Lytton,\\|	Lytton 市曾經是\\|
once a beautiful,  \\|	美麗、安寧、\\|
peaceful, quiet    \\|	治安良好的城市，\\|
city with few major\\|	鮮少發生\\|
crime problems, is \\|	重大治安問題，\\|
now experiencing   \\|	如今卻快速\\|
rapid growth and   \\|Smugsville, U.S.A.	成長，日益\\|Smugsville, U.S.A.
prosperity. But,   \\|President Hickle	繁榮。然而\\|Hickle 總統
along with growth  \\|was in Smugsville	伴隨著成長，\\|昨晚人在
has come an alarm- \\|yesterday evening,	犯罪率也\\|Smugsville，
ing increase in the\\|observing the	出現驚人的\\|觀賞一年一度的
crime rate that is \\|annual migration	攀升，正威脅著\\|遷徙盛況
     see Dope, pg 2\\|   see Birds, pg 2	     見〈毒品〉，第2頁\\|   見〈候鳥〉，第2頁
   Birds, from pg 1\\|   Dope, from pg 1	   〈候鳥〉接第1頁\\|   〈毒品〉接第1頁
of the red-bellied \\|threatening the	紅腹沼澤\\|Lytton 的
swamp coddlers.    \\|peace of Lytton.	絨鳧的遷徙。\\|和平。
The President, who \\|Police Sgt. John	這位總統\\|Dooley 警佐
has been a bird    \\|Dooley states that	從小就是\\|表示，危險
lover since child- \\|dangerous drugs	愛鳥人士，\\|毒品已經
hood, rates the    \\|are showing up on	他形容\\|流入街頭
mating dance of the\\|the streets and in	絨鳧的\\|與校園。
coddler as being   \\|our schools.	求偶舞\\|凶殺案與
"as spectacular as \\|The homicide rate	『精彩程度\\|賣淫案件的
the golden-crowned \\|and prostitution	不輸金冠\\|數量，更
scum sucker." The  \\|are at a level the	吸垢雀』。\\|創下本市
President candidly \\|city has never	總統還\\|前所未見
admitted that he   \\|seen. The Tribune	坦承自己\\|的新高。
once skipped the   \\|has learned from a	曾經翹掉\\|本報從可靠
    see Birds, pg 3\\|    see Dope, pg 3	    見〈候鳥〉，第3頁\\|    見〈毒品〉，第3頁
   Birds, from pg 2\\|   Dope, from pg 2	   〈候鳥〉接第2頁\\|   〈毒品〉接第2頁
Geneva Arms Conven-\\|reliable source	日內瓦\\|消息來源
tion to watch some \\|that a big-time	軍備公約\\|得知，一名
old coddlers mate. \\|drug dealer with a	大會，就為了\\|毒販綽號
The President says \\|street name of	看老絨鳧\\|『死亡天使』
a bill is presently\\|"Death Angel" may	交配。總統說\\|很可能就是
before the Senate  \\|be responsible for	參議院正\\|這波毒品
proclaiming Nat-   \\|the drug traffic.	審議法案，\\|氾濫的幕後黑手。
ional Coddler Day! \\|	要訂『全國絨鳧節』！\\|
                   \\|  LPD OFFICER OF	        \\|  Lytton 警局
      ESCAPED      \\| THE YEAR NOMINEES	     越獄     \\| 年度最佳警員提名
Lytton City Jail   \\|Lytton PD Chief	Lytton 市立監獄   \\|Lytton 警局
reported the escape\\|Whipplestick has	昨晚通報，\\|局長 Whipplestick
of a female prison \\|nominated Sonny	一名女性\\|已提名 Sonny
inmate last night. \\|Bonds and Joe	受刑人逃獄。\\|Bonds 與 Joe
