Dispatch, this is 83-32. Enroute Lytton County jail, 10-15.	調度，這裡是 83-32。前往 Lytton 郡監獄，10-15。
83-32, confirmed.	83-32，收到。
Thanks, Doris. You're music to my ears.	謝了，Doris。妳的聲音簡直是天籟。
Dispatch, 83-32 in pursuit of a possible DUI, Westbound Rose and Second.	調度，83-32 正追緝一輛疑似酒駕車輛，往西行駛於 Rose 街與 Second 街口。
Dispatch, 83-32 in pursuit of a 13301, Eastbound Fig and Ninth.	調度，83-32 正追緝一件 13301 案件，往東行駛於 Fig 街與 Ninth 街口。
83-32, message recieved.	83-32，訊息收到。
Dispatch, 83-32 currently (compass direction) bound on (streetname) and (streetname).	調度，83-32 目前朝（羅盤方位）方向行駛於（街道名稱）與（街道名稱）。
83-32, your location is confirmed and noted.	83-32，你的位置已確認並記錄。
Dispatch, 83-32 responding 10-20 Brock and Second.	調度，83-32 正前往處理 10-20，地點 Brock 街與 Second 街口。
You switch off your lights and siren.	你關掉了警示燈和警笛。
You switch on your lights and siren.	你打開了警示燈和警笛。
83-NORA-10, 10-19 immediately.	83-NORA-10，立即 10-19。
83-32, please respond to a domestic disturbance, Northwest corner of Poppy and Parkway.	83-32，請前往處理家庭糾紛案件，地點在 Poppy 街與 Parkway 街西北角。
83-32, please respond to a disturbance at Palm and Sixth.	83-32，請前往處理一起騷亂案件，地點在 Palm 街與 Sixth 街口。
83-NORA-10, please respond Poppy and Brock to ID a DB. Repeat, please respond to Cotton Cove immediately.	83-NORA-10，請前往 Poppy 街與 Brock 街辨識一具遺體。重複，請立即前往 Cotton Cove。
The car is gone. Let's hope he doesn't hurt anyone.	車子已經跑了。希望他別傷到任何人。
83-32, you are now 10-10. Just remindin' ya, honey.	83-32，你現在是 10-10 了。只是提醒你一下，親愛的。
Ouch! That curb just kinda snuck up on you, didn't it. So did the windshield, for that matter...	唉唷！那個路緣石是不是突然冒出來嚇你一跳？說到這個，擋風玻璃好像也是……
