POLICE QUEST	警察故事
Help	說明
  F1 displays this message.	  F1 顯示此訊息。
  F2 turns the sound off and on.	  F2 開關音效。
  F3 retypes the last line typed.	  F3 重新輸入上一行文字。
  F4 goes in/out of car; to/from map.	  F4 進出車輛；往返地圖。
  F5 saves your current game.	  F5 儲存目前遊戲。
  F6 loads%m26	  F6 載入%m26
  F7 restores a saved game.	  F7 讀取已儲存的遊戲。
  F8 draws%m26	  F8 拔出%m26
  F9 restarts the game.	  F9 重新開始遊戲。
F10 fires%m26	F10 開火%m26
TAB shows the status screen.	TAB 顯示狀態畫面。
ESC displays the menus.	ESC 顯示選單。
Ctrl-J sets up your joystick.	Ctrl-J 設定搖桿。
Ctrl-R toggles RGB monitor modes.	Ctrl-R 切換 RGB 螢幕模式。
  F1 or HELP displays this message.	  F1 或 HELP 顯示此訊息。
Ctrl-J sets up your joystick/mouse.	Ctrl-J 設定搖桿／滑鼠。
For a Hint Book, call (209) 683-6858.	如需提示書，請撥打 (209) 683-6858。
F10 swings your PR-24.	F10 揮動 PR-24。
F10 turns the shower off and on.	F10 開關淋浴。
  drive car 	  駕駛車輛
  your weapon.	  你的武器。
Ctrl-D radios Dispatch.	Ctrl-D 以無線電聯絡調度台。
ESC displays the menus, as does\n     the joystick button or\n     the right mouse button.	ESC 顯示選單，\n     搖桿按鈕或\n    滑鼠右鍵也一樣。
Jessie Hiram Bains,    	Jessie Hiram Bains，
"The Death Angel,"     	「死亡天使」，
was brought to justice 	已被繩之以法，
and tried in the       	並在 Lytton 市
Superior Court of the  	高等法院
City of Lytton on the  	接受審判，罪名如下：
following charges:     	以下罪名：
ILLEGAL GAMBLING	非法賭博
Hotel Delphoria bartender Woody Roberts turned State's evidence and, as a witness for the prosecution (in return for a suspended sentence and three years probation), provided convincing testimony concerning the gambling activities of Jessie Bains, Otto Lipshitz, and Gene "the Bambino" Bamboni.	Delphoria 飯店酒保 Woody Roberts 轉為污點證人，作為控方證人（換取緩刑與三年觀察期），提供了 Jessie Bains、Otto Lipshitz 與 Gene「Bambino」Bamboni 賭博活動的有力證詞。
DRUG TRAFFICKING	毒品交易
Drug pusher Donald D. Colby turned State's evidence and, as a witness for the prosecution (in return for a suspended sentence and five years probation), provided convincing testimony concerning the Bains' narcotics distribution network.	毒販 Donald D. Colby 轉為污點證人，作為控方證人（換取緩刑與五年觀察期），提供了 Bains 毒品分銷網路的有力證詞。
ATTEMPTED MURDER	謀殺未遂
Lytton PD Detectives Bonds, Anglin, and Smith, presented eyewitness testimony concerning the shoot-out at the Hotel Delphoria.	Lytton 警察局探員 Bonds、Anglin 與 Smith 提供了 Delphoria 飯店槍戰的目擊證詞。
FIRST DEGREE MURDER	一級謀殺
Ballistic tests provided a positive match between Bains' .32-caliber automatic handgun and the weapon used to murder Jason Taselli.	彈道測試證實 Bains 的 .32 口徑自動手槍，與殺害 Jason Taselli 所用的武器吻合。
And now, the results of that trial...	現在公布審判結果……
The Honorable Judge Kim Palmer asks the foreman of the jury, "Ladies and gentlemen of the jury, have you reached your verdict?"	尊敬的 Kim Palmer 法官問陪審團主席：「陪審團女士先生，你們做出裁決了嗎？」
The foreman answers, "Yes, we have, Your Honor."	主席回答：「是的，法官大人。」
Guilty as charged.	罪名成立。
