The%s2door is open.	%s2 門是開著的。
The%s2door is closed.	%s2 門是關著的。
You arms are not that long.	你的手臂沒那麼長。
Do you plan to crawl through the window?	你打算爬窗戶嗎？
"Oh, no! I left my door open!"	「糟糕！我把門開著！」
You don't have the keys for this vehicle.	你沒有這輛車的鑰匙。
The Department frowns on dumping suspects from cars at high speed. Try closing the rear door!	警察局不允許高速行駛時把嫌犯從車裡丟出去。試著關上後門！
Nothing of interest is happening in that direction.	那個方向沒有發生值得注意的事。
You've already spent ten years on a foot beat. That should be enough walking for anyone!	你已經徒步巡邏十年了。對任何人來說都走夠多了！
Are you planning to release this criminal? This is neither the time nor place to remove your prisoner from the car.	你打算釋放這名罪犯嗎？現在不是把囚犯移出車子的時間或地點。
Taking a suspect into the station is strictly prohibited.	嚴禁把嫌犯帶進警局。
Close your back door.	關上後門。
You will never be a passenger in this car.	你永遠不會是這輛車的乘客。
There's nowhere to run, and nowhere to hide. You've got to face this guy.	無處可逃，也無處可藏。你必須面對這傢伙。
 front 	 前方
 back 	 後方
Just because this guy is a crook, there's no need to slam the door on his head.	這傢伙是罪犯，也沒必要把門砸在他頭上。
Closing the door on your suspect's head could blow the bust.	把門關在嫌犯頭上可能會搞砸逮捕。
You notice a nightstick in a holder on the driver's door panel.	你注意到駕駛座車門板的套子裡有一根警棍。
Good move! Your wallet is on the seat.	做得好！你的錢包在座位上。
Why do you always get the car that needs cleaning!?	你為什麼總是拿到需要清潔的車！？
It's not here.	它不在這裡。
You wouldn't want to leave your wallet here!	你不會想把錢包留在這裡！
Since your suspect can't go through you, you might consider moving out of the way!	既然嫌犯不可能穿過你，也許你該讓開！
You won't be going anywhere without keys!	沒有鑰匙你哪裡也去不了！
It's seems there's a job you've left unfinished here.	看來你在這裡留下了未完成的工作。
You don't need to do that.	你不需要那麼做。
You managed to stop a reckless driver.	你成功攔下了魯莽駕駛。
You've made the stop. Now try getting closer.	你已經攔停車輛。現在試著靠近。
You need to be more specific.	你需要更具體一點。
Seeing you don't have control of the situation, the violator drives off.	違規者看出你沒控制住局面，開車離去。
You observe a small, red, sports car fail to stop for that red light.	你看到一輛小型紅色跑車沒有在紅燈前停下。
You activate your red emergency lights and observe the sports car pull to the curb and stop.	你開啟紅色警示燈，看著跑車靠路邊停下。
You'd better check your "PIG" manual for proper stop procedures.	你最好查閱「PIG」手冊中的正確攔車程序。
You'll need the suspect's driver's license to do that.	你需要嫌犯的駕照才能那樣做。
Enraged, the young woman shrieks as you drive off, "Your Mama wears Army boots, you $%^&!head."	年輕女子憤怒地尖叫，你開車離去時她喊：「你媽媽穿軍靴，你這個 $%^&! 頭。」
You just made that broad's day, Studly!	你剛剛讓那女人的一天變精彩了，Studly！
The driver of the car you stopped wonders, "Are all cops that lame?" as she drives away.	你攔下的車輛駕駛離去時想：「所有警察都這麼遜嗎？」
He slowly pulls to the right, jumps the curb, and comes to a stop.	他慢慢向右靠，衝上路緣後停下。
"What about my car?"	「我的車怎麼辦？」
"Don't worry. It'll be towed somewhere safe. At your expense."	「別擔心。它會被拖到安全的地方。費用由你負擔。」
Noting your persistence and driving skill, the driver of the Cadillac pulls it over after his attempts to lose you fail.	Cadillac 駕駛發現你的堅持與駕駛技術，在甩掉你的嘗試失敗後靠邊停車。
"If anything happens to my car I'll have my lawyer on you so fast, he'll..."	「我的車要是出任何事，我會立刻叫律師找你，他會……」
"Keep it down back there, Slimeball!"	「後面安靜點，黏液球！」
Jack comes on the radio...	Jack 從無線電傳來……
"Dispatch, this is 83-31 confirming Code-4 on felony stop, one in custody. 83-32 proceeding to jail. Request tow truck to location."	「調度台，這是 83-31，確認重大犯罪攔車 Code-4，一人拘留。83-32 前往監獄。請派拖吊車到現場。」
Dispatch responds, "Affirmative, 83-31. Code-4, tow truck en route."	調度台回覆：「收到，83-31。Code-4，拖吊車前往中。」
Your first assignment, and you blew it.	你的第一個任務，而你搞砸了。
There is no reason to return to the accident scene! You have your orders, now move.	沒理由回事故現場！你已經收到命令，現在行動。
You may as well return to patrol. That gal is mad!	你不如回去巡邏。那女孩氣瘋了！
No sense returning to the scene. Transport your suspect to jail!	回現場沒有意義。把嫌犯送到監獄！
You are on a difficult mission. You must save the City of Lytton from the "Death Angel."	你正在執行艱難任務。你必須拯救 Lytton 市免於「死亡天使」的威脅。
You have no time for sightseeing now!	現在沒時間觀光！
Hotel Delphoria	Delphoria 飯店
Carol's Caffeine Castle	Carol 咖啡城堡
Lytton City Park	Lytton 市公園
Blue Room	Blue Room
LPD Headquarters	LPD 總部
Cotton Cove Picnic Area	Cotton Cove 野餐區
Lytton Municipal Court Building	Lytton 市法院大樓
Lytton City Jail	Lytton 市立監獄
%m85 says, "Sonny, I am extremely busy right now; besides, uniformed cops don't belong in Narcotics Division. Would you please hit the road and write some tickets?"	%m85 說：「Sonny，我現在非常忙；此外，穿制服的警察不該待在緝毒組。請你出去開罰單，好嗎？」
%m85 welcomes you to the Narcotics Division and explains the necessity of your new image.	%m85 歡迎你加入緝毒組，並說明你需要新形象的原因。
"Sonny, I've decided to put you on the Hoffman case due to your involvement in the arrest. Your partner will be Detective Laura Watts."	「Sonny，因為你參與逮捕，我決定讓你負責 Hoffman 案。你的搭檔是 Laura Watts 探員。」
"You can join Laura in her office now. Good luck on the case. And, welcome aboard, Sonny!"	「你現在可以去 Laura 的辦公室。祝案件順利。歡迎加入，Sonny！」
"Hello, Sonny. Please step over here to my desk."	「你好，Sonny。請到我桌子這邊來。」
"Sonny, step on over to my desk."	「Sonny，到我桌子這邊來。」
