Attempted murder, huh? Guess he didn't realize that charity begins at home.	企圖謀殺？看來他不知道慈善應該從自己家裡開始。
Okay, we've got one for kidnapping.	好了，這張是綁架罪。
Armed robbery? Wooo, keep the nasty stick-up man away from me, Bonds.	持械搶劫？喔，Bonds，離那個兇惡的搶匪遠一點。
Assault and battery on a police officer? Ooh, we don't take too kindly to that sort of behavior.	攻擊並毆打警察？喔，我們可不會善待這種行為。
Possession of a controlled substance, huh? Guess he just didn't know when to say, "No."	持有管制物質？看來他只是不知道什麼時候該說「不」。
Booking this one for possession of cocaine, eh? Guess his Mom never told him not to stick stuff up his nose.	這張是持有可卡因？看來他媽媽從沒告訴他別把東西塞進鼻子。
Stolen vehicle, eh? Some people'll do ANYthing to get out of car payments.	失竊車輛？有些人為了逃避車貸什麼都做得出來。
Failure to stop at a red light. What's the matter, Bonds? Did he drive past your girlfriend's house without paying? Just kiddin', Sonny, old pal.	闖紅燈。怎麼了，Bonds？他經過你女友家卻沒付錢嗎？開玩笑的，Sonny，老朋友。
Driving under the influence of intoxicants? Just goes to show you, any crap-for-brains can get a driver's license.	酒醉或藥物影響下駕駛？這只能證明任何沒腦袋的人都能拿到駕照。
Please enter a code.	請輸入代碼。
Try that one again, Bonds, you gave me an invalid code for this case.	再試一次，Bonds。你輸入了這個案件的無效代碼。
One more time, please.	請再試一次。
Geez, Bonds, head back to the Academy and bone up on your codes.	天啊，Bonds，回警校把代碼好好複習一下吧。
The room isn't quite clean enough to pass the White Glove test, but the clientele usually don't complain.	這房間還不夠乾淨，通過不了白手套檢查，但客人通常不會抱怨。
What do you think you're doing, Officer? You can't leave a prisoner unprocessed.	警官，你以為自己在做什麼？不能讓囚犯未完成收押程序就離開。
You should have the prisoner move to the middle of the room before attempting to remove the handcuffs.	嘗試解開手銬前，應先讓囚犯走到房間中央。
Leaving already? Jack's waiting for you inside. Better check in with him first.	要走了？Jack 正在裡面等你。最好先和他報到。
This is the Lytton County Jail.	這是 Lytton 郡監獄。
Don't leave without booking your prisoner. It kind of defeats the purpose of the arrest.	別忘了替囚犯辦理收押就離開，那會讓逮捕失去意義。
After all the care you took to effect a good bust out in the field, you get the guy to jail and let the dirtbag waste you.	你在外面辛苦完成逮捕，卻把人帶到監獄後讓這個垃圾殺了你。
The world's a safer with him in there.	他被關在裡面，世界就安全多了。
Ever hear of a "No Bail Warrant," Taselli? The judge decided you were too nice a customer to lose. You're not going ANYwhere 'till this case goes to trial.	聽過「不得交保令」嗎，Taselli？法官認為不能放走你這種大人物。在案件審判前，你哪裡都不准去。
What?!? You can't...it ain't constitutional! I'll sue! Your ass is MINE, Bonds!	什麼！？你不能這樣……這不合憲！我要告你！Bonds，你死定了！
Enjoy our fine accommodations, Mr. Hoffman, or whatever your name is. I think you'll be staying with us for quite a while.	好好享受我們的住宿，Hoffman 先生，不管你現在叫什麼。我想你會在這裡待上一段時間。
You're dead when I get out of this joint, cop!	警察，等我離開這鬼地方你就死定了！
I'm quakin' in my boots, sir.	長官，我已經嚇得靴子都在發抖了。
The only ass I'm kissing goodbye is you. After all, I won't be seeing you for a few years.	我唯一要道別的混蛋就是你。畢竟，我好幾年都不會再看到你。
Sonny, you gotta remove the guy's cuffs first.	Sonny，你得先解開那人的手銬。
Hey, Sonny. I got the evidence booked on this guy.	嘿，Sonny。我已替這傢伙完成證物登記。
Dooley wants you back at the station. Seems he's heavily perturbed about something and he wants to talk to you about it ASAP. See you back there.	Dooley 要你回警局。他似乎被某件事惹得非常不高興，想盡快和你談談。警局見。
Sonny! Glad I spotted your black-and-white. I just wanted to let you know about an opening in Narcotics. Morgan is accepting transfer requests now.	Sonny！很高興看到你的警車。我只是想告訴你緝毒科有職缺，Morgan 現在接受調職申請。
Fill one out and turn it in when you get back to the station. I'm headed back there. Catch you later.	填好一份，回警局後交上去。我先回去了，待會見。
Good work, Sonny. This'll be a pleasure to report to Morgan. It increases the likelihood that this could be a permanent position for you. Let's roll back and do the paperwork, partner.	做得好，Sonny。我很樂意把這件事報告給 Morgan，這會增加你轉為正式職位的機會。回去辦文件吧，搭檔。
Oh, I almost forgot. Jack called me at the station. He sounded really upset. He wanted to talk to you. I think you'd better stop by and see him. He said he was at the blue room. I'll see you at the station later. Bye.	喔，我差點忘了。Jack 打電話到警局，聽起來非常難過。他想和你談談。你最好去看看他。他說自己在 Blue Room。稍後警局見，再見。
Jack, buddy, you look worried. Is something bothering you? Other than getting old, of course!	Jack，老兄，你看起來很擔心。除了變老以外，還有什麼事困擾你嗎？
No...no, nothing, Sonny.	不……沒事，Sonny。
Jack...you can tell me, man. Maybe I can help.	Jack……你可以告訴我，也許我能幫忙。
I...Sonny, I think Kathy's on drugs. My little girl. I just can't believe it.	我……Sonny，我想 Kathy 吸毒了。我的小女兒。我真的不敢相信。
Jack, are you sure? How do you know?	Jack，你確定嗎？你怎麼知道？
Sonny, she's been having nosebleeds all the time. She steals money from us. She was out all night last night, and I...I just...Oh, God, my little girl...	Sonny，她一直流鼻血，還從我們這裡偷錢。她昨晚整晚都不在家，我……我只是……天啊，我的小女兒……
Hi, Jack! Good news, buddy. We caught the bastard who was selling to Kathy.	嗨，Jack！好消息，老兄。我們抓到賣毒品給 Kathy 的混蛋了。
Kathy's in the hospital. In a coma. It was an overdose--some filthy shhh...they don't even know what. She might die, Sonny, my baby might die.	Kathy 在醫院，陷入昏迷。她服藥過量——某種骯髒的鬼東西……連醫生都不知道是什麼。她可能會死，Sonny，我的寶貝女兒可能會死。
Jack, man, I'm so sorry. She'll be okay, I know it. She's a tough kid.	Jack，我很抱歉。她會沒事的，我知道。她是個堅強的孩子。
Thanks, Sonny. Thanks for tryin'. I gotta go, man.	謝謝，Sonny。謝謝你安慰我。我得走了，老兄。
It sounded important, Sonny. You'd better get to Morgan's office right now.	聽起來很重要，Sonny。你最好現在就去 Morgan 的辦公室。
You're not gonna believe this, man. Jason Taselli escaped.	你不會相信的，老兄。Jason Taselli 越獄了。
Yeah! Taselli cold-cocked a guard and grabbed his keys. He got out into the yard, and somehow managed to get over two chain-link, barbed-wire topped fences with his hide intact. I can't believe nobody saw him go, man! Anyway, there's a citywide dragnet underway, and Morgan wants to see you in his office right now.	對！Taselli 打昏一名警衛搶走鑰匙，逃到院子裡，還不知怎麼翻過兩道頂端有鐵絲網的鏈網圍籬，毫髮無傷地逃了。我不敢相信沒人看到他！總之全市正在展開大搜捕，Morgan 要你立刻到他辦公室。
Man, I can't believe Taselli pulled it off. This is bad news.	老兄，我不敢相信 Taselli 真的做到了。這是壞消息。
Yeah, he's a dangerous dude. I just hope he doesn't hurt anyone. Anyway, you better run, Sonny!	對，他是危險人物。希望他別傷害任何人。總之你最好快跑，Sonny！
