The odds against hitting him while he's inside his vehicle are very slim.	他人在車裡，你打中他的機率微乎其微。
You have no idea who it could be from here, but he sure looks seedy.	你從這裡看不出他是誰，但他看起來絕對不是什麼正經人。
You're still not sure exactly who this dirtbag is, but you know he's bad news.	你還不確定這個人渣到底是誰，但你知道他不是什麼好東西。
Nice pea shooter. On your feet, bud.	好一把小玩具槍啊，起來，小子。
Let's go, buddy. Into the patrol car.	走吧，老兄。上巡邏車。
I got your patrol car right here, you #$%&*#$@# pig...	我把你的巡邏車就擺在這，你這個 #$%&*#$@# 死條子……
I beg your pardon?	你說什麼？
I'm goin', I'm goin'.	我走了啦，我走了啦。
You yell to the man in the car, but receive only a serious ringing in the ears as a response.	你朝車裡的人大喊，得到的唯一回應是一陣震耳欲聾的巨響，讓你耳鳴不已。
No @#)%(@!#% way, you bastard!	沒門，你這個 @#)%(@!#% 混蛋！
I said, HIT THE DIRT!	我說了，馬上趴下！
You consider yelling to the suspect from inside the car, but decide that would merely make your ears ring.	你考慮從車裡對嫌犯大喊，但轉念一想，那樣做只會換來一陣耳鳴。
Have you no moral fiber? Shocking, Sonny, shocking.	你就沒有一點道德操守嗎？真是駭人聽聞，Sonny，駭人聽聞。
The ticket window for the Sin City theatre. It gives new meaning to the term, "filthy lucre".	Sin City 戲院的售票窗口。這讓「骯髒的錢財」這個詞有了全新的意義。
Don't be silly.	別傻了。
The top of the Sin City sign is home to pigeons and lots of bad kharma.	Sin City 招牌頂端住著鴿子，還瀰漫著滿滿的壞業障。
The trunk is locked. It won't budge. You didn't realize Mercedes were still made so solidly.	後車廂鎖住了，紋風不動。你沒想到賓士車還做得這麼扎實。
You check and make sure the bars are securely locked into place. They are.	你檢查確認鐵欄杆是否牢牢鎖住，確實如此。
The window is boarded and barred. Pieces of shattered glass litter the sidewalk.	窗戶被木板封死並裝上鐵欄杆，破碎的玻璃碎片散落在人行道上。
You shake the bushes vigorously, and probably scare the hell out of a few squirrels.	你用力搖晃灌木叢，大概把幾隻松鼠嚇得魂飛魄散。
The dense green bushes could conceal almost anything.	這片茂密的綠色灌木叢幾乎可以藏住任何東西。
If you want to talk to the bushes, you should've taken a White House tour.	想跟灌木叢聊天？你應該去參觀白宮才對。
