serial #SW9764912	序號 #SW9764912
reported stolen.	已通報失竊。
Chicago, 12/4/86	Chicago, 12/4/86
Contact Det. Taber at	請聯絡 Taber 警探，電話：
CPD, 1 (312) 555-3382	CPD, 1 (312) 555-3382
555-6537,	555-6537,
unlisted number	未公開號碼
1037 Grove St.	1037 Grove St.
Apt #334,	Apt #334,
Delphoria Hotel	Delphoria 飯店
FED Warrant: 123-1985	聯邦通緝令：123-1985
Alias: Marvin Hoffman	別名：Marvin Hoffman
5'11", 195', blk/brn	5呎11吋，195磅，黑髮/棕眼
Tattoo of flower	花朵刺青，
above left nipple.	位於左乳頭上方。
1985 Motorcycle 750	1985 年 750 機車
Color: cherry red	顏色：櫻桃紅
Stolen: %m18	失竊時間：%m18
License: M65789	車牌：M65789
VIN: M09876543	車身號碼：M09876543
459PC Burglary	459PC 竊盜罪
.22-cal. lever-action	.22 口徑槓桿式
Ramington rifle	Ramington 步槍
oak stock, gold trig.	橡木槍托，鍍金扳機
Serial #R12345678	序號 #R12345678
Still outstanding:	仍未結案：
Contact Lytton PD	聯絡 Lytton 警局
Record not on file.	查無紀錄。
Victim:	被害人：
Fancy Pants Lingerie	Fancy Pants Lingerie
57 pair silk skivvies	57 件絲質內褲
Blue, size 46-50,	藍色，尺寸 46 至 50，
Zippered crotch	胯部拉鍊設計
Suspect:	嫌犯：
Short Fat Fanny	Short Fat Fanny
2400 lbs Dog Feed	2400 磅狗飼料
Fat Fred's Feed Farm	Fat Fred 飼料農場
9 Large-mouth Belly	9 罐大嘴鱸魚用的『腹脹
Bustin' Stink Baits	爆臭餌』
"Chink's Cast N	"Chink's Cast N
Missing dog:	走失犬隻：
Name of Big Dog	犬名：Big Dog
3', 115 lbs, blk/wht	3呎，115磅，黑白花色
Approach with caution	接近時請小心——
is very affectionate	牠對穿制服的警察
with uniformed police	特別親近。
8 diamond wedding	8 枚鑽石婚戒
Jessie the Jeweler	珠寶商 Jessie
Ill. DDL #A472457	伊利諾州駕照 #A472457
2231 W 104th St	2231 W 104th St
Chicago, Illinois	Chicago, Illinois
5'11",195lbs,blk/brn	5呎11吋，195磅，黑髮/棕眼
DOB: 3/1/39	出生日期：1939 年 3 月 1 日
1983 Cadillac deVille	1983 年 Cadillac deVille
Color: black	顏色：黑色
Stolen, %m18	失竊時間，%m18
License: LOP1238	車牌：LOP1238
VIN: C03456218	車身號碼：C03456218
Registered owner:	車主：
Biologic intercourse.	生物性交合。
Anal release of an	肛門排出的
elastic fluid.	彈性氣體。
Solid waste matter	固態廢物，
from the bowels.	來自腸道。
A yellowish fluid	一種淡黃色液體，
secreted by the	由
kidneys, passed	腎臟分泌，經過
through ureters to	輸尿管流向
bladder, from which	膀胱，再從
it is discharged	那裡排出，
through the urethra.	經由尿道排出。
Any port in a storm!	急難之時，什麼港口都能停靠！
Found on a male.	於男性身上尋獲。
Freddie Justinfletch	Freddie Justinfletch
Alias:	別名：
Freddie the Freak	怪胎 Freddie
Physical:	外貌特徵：
5'3",219lbs,bald/grn	5呎3吋，219磅，禿頭/綠眼
Wanted for:	通緝原因：
Jimmy "the Junky"	Jimmy「毒蟲」
6'4",160lbs,blk/brn	6呎4吋，160磅，黑髮/棕眼
4'9",160lbs,blk/blu	4呎9吋，160磅，黑髮/藍眼
WAR: Q72, petty theft	通緝案號：Q72，輕竊盜罪
Winiford Watson	Winiford Watson
Winnie the Weasel	黃鼠狼 Winnie
5'8",180lbs,bald/brn	5呎8吋，180磅，禿頭/棕眼
Numerous tattoos.	多處刺青。
Narcotics, weapons,	毒品、槍械，
unlisted telephone	未公開電話
number of: Police	號碼，屬於
Commissioner Hacker	警察局長 Hacker
Enter search string:	請輸入搜尋字串：
Lytton Police Dept.	Lytton 警局
On-Line Database	線上資料庫
Good morning!	早安！
Didn't match %s1.	找不到符合「%s1」的資料。
Former programmer;	前程式設計師；
author of that cult	曾撰寫那部
classic, "Bop-A-Bet!"	邪典經典之作《Bop-A-Bet!》
Computer renaissance	電腦界的
man: artist, program-	全才：藝術家、程式
mer, guitarist.	設計師、吉他手。
Nice ol' family man;	顧家的老好人；
former CHiP (not as	曾是加州公路巡警（不是
in cow).	那種乳牛的意思）。
Like a civil servant:	就像個公務員：
we can't fire him and	開不了他，
can't get him to work	也叫不動他工作。
15-year veteran, LPD	LPD 資深警員，年資 15 年
202 Gyrate Ct,	202 Gyrate Ct,
License: OHMYMG	車牌：OHMYMG
On-Line Help is no	線上說明已經
longer available.	不再提供。
BDOS err on a:	BDOS 錯誤發生於：
convicted drug pusher	已定罪毒販
al lowe	al lowe
greg rowland	greg rowland
jim walls	jim walls
ken williams	ken williams
Wanted for murder,	通緝原因：謀殺，
drug involvement,	涉毒，
Last seen area of	最後出現地點為
Chicago, Ill.	Chicago, Ill.
Art Serabian,	Art Serabian,
No wants.	無通緝紀錄。
License: UL6942	車牌：UL6942
Issued to:	核發對象：
1979 Cadillac,	1979 年 Cadillac，
