Oh, she's OK. She's given up karate to work on her tan. I can't say I disapprove!	喔，她還不錯。她放棄空手道，改去曬黑了。我倒是不反對！
That's good to know. She was dangerous enough to start with, Steve.	這樣聽了就放心多了。反正她本來就夠危險了，Steve。
Hey, watch it, Bonds. Just cause you don't know anything about women...	嘿，小心點，Bonds。就因為你對女人一竅不通……
Maybe you should offer a class, Steve. I'm sure everyone is dying to hear the secrets of your success.	也許你該開堂課，Steve。我相信大家都很想聽聽你成功的祕訣。
Smartass. At least I have a girlfriend. I don't have to make phone calls to 1-900 numbers.	臭屁什麼。至少我有女朋友，不用打電話給那種 1-900 付費專線。
Dream on, Johnson. I've NEVER called one of those numbers.	作夢吧，Johnson。我從來沒打過那種電話。
Hey, listen, Sonny, I didn't mean--	嘿，聽著，Sonny，我不是那個意思——
Got my computer in Narcotics. What do I need with women when I've got a computer?	我在緝毒組有電腦。有電腦在手，我要女人幹嘛？
I always wondered why the light was on in the narcotics office after hours! Okay, while we're playing truth-or-dare...admit it. You're the Gremlin, right?	我一直很好奇為什麼下班後緝毒組辦公室的燈還亮著！好啦，既然我們在玩真心話大冒險……老實招了吧。你就是那個 Gremlin，對吧？
Nope.	才不是。
Come on, 'fess up. You're the one who's been making old Dooley's life a living hell, aren't you?	拜託，招了吧。一直把老 Dooley 搞得生不如死的就是你，對不對？
Not me, buddy. I thought it was you.	不是我，老兄。我還以為是你咧。
Don't pull that innocent crap with me, Bonds. Those wide-eyed "what, ME?" eyeballs wouldn't fool anybody.	別跟我裝無辜，Bonds。那副睜大眼睛裝『啊，是我嗎？』的表情，誰都騙不了。
Believe what you want, Steve-o-rama. It's not me. But it is funny as hell...poor old Dooley! I can't believe someone dyed his uniform pink, ha ha ha!	你愛信不信，Steve-o-rama。反正不是我。不過真的是笑死人……可憐的老 Dooley！真不敢相信有人把他的制服染成粉紅色，哈哈哈！
Do you really want to touch something that's been the resting place for untold thousands of buns?	你真的想去碰一個不知道被多少屁股坐過的東西嗎？
These vinyl stools have cradled many a gluteus maximus in their time.	這些塑膠皮面的凳子這些年來承接過不少屁股。
You take a load off at the counter, looking forward to coffee and conversation with your old pal, Steve.	你在櫃檯前坐下歇歇腳，期待著跟老朋友 Steve 喝杯咖啡、聊聊天。
You may be addicted to donuts, Bonds, but you haven't sunk low enough to be eating straight sugar.	Bonds，你也許嗜甜甜圈如命，但還不至於淪落到直接吃糖。
It's a sugar dispenser.	這是糖罐。
Don't touch the window. If you do, you'll end up needing to wash your hands.	別碰那扇窗。碰了你就得去洗手了。
Beyond the grimy window of Carol's is the grimy street.	Carol 咖啡城堡那扇髒兮兮的窗戶外面，是同樣髒兮兮的街道。
The building is made of cheap brick. Better hope an earthquake never hits!	這棟建築是用便宜磚頭蓋的。最好祈禱永遠別遇到地震！
It's a low-rent, high-crime apartment building.	這是一棟租金便宜、治安卻很差的公寓大樓。
You'll never reach them from here. Just as well, since you have no use for them.	你從這裡絕對搆不到它們。反正你也用不著。
Old, worn curtains flutter through the apartment window.	破舊的窗簾從公寓窗戶飄了出來。
Not being trained in mountain-climbing techniques, you find yourself unable to scale the wall up to the roof.	你沒受過攀岩訓練，發現自己沒辦法爬上牆到屋頂。
Tarpaper and poor tuckpointing.	防水油毛氈，加上粗糙的磚縫修補。
Let the citizens have their privacy, Officer.	警員，讓市民保有一點隱私吧。
The tenant of this apartment seems to have opened the window to get some air. The quality of the air in this area, though, makes this a futile gesture.	這間公寓的房客似乎打開了窗戶想透透氣。不過以這一帶的空氣品質來說，這麼做根本是白費工夫。
Hello up there!	哈囉，樓上的！
A shrill, nervous woman's voice calls out; "Yeah, whadda ya want? I ain't done nothin' wrong. Leave me alone, cop."	一個尖銳、緊張的女聲喊道：「幹嘛啦？我什麼壞事都沒幹。別煩我，條子。」
You haven't done anything, Ma'am. I was just being friendly.	女士，你沒做錯什麼事。我只是想友善打個招呼。
