You immediately regret phrasing your question in that particular manner. Marie doesn't seem offended, however.	你立刻後悔用那種方式問問題。不過 Marie 似乎並不介意。
What do you mean, Marie?	妳這話是什麼意思，Marie？
Well, ah, I--	呃，那個，我……
Marie winks at you.	Marie 對你眨了眨眼。
There isn't a single patron in this bar who would sit still for being touched by a cop. Unless you count Marie, who is probably less of a patron and more of a solicitor.	這間酒吧裡沒有一個客人會乖乖讓警察搜身。除非把 Marie 算進去，不過她與其說是客人，不如說是個拉客的。
Some of Willy's patrons. You're supposed to treat everybody equally, but it's hard not to think of these people as lowlife scum, the ones that give you so much grief on Friday and Saturday nights.	Willy 的一些常客。你應該一視同仁地對待每個人，但很難不把這些人當成社會敗類——就是那些每逢週五、週六晚上讓你頭痛不已的傢伙。
They're not talking. None of them would be the slightest bit willing to help out a cop.	他們什麼都不肯說。他們沒有一個人願意幫警察半點忙。
As charming as Miss February 1969 may be, an officer of the law does not take other people's property.	1969 年二月份的封面女郎再迷人，執法人員也不能拿走別人的財物。
It's a tool company's cheesy cheesecake calendar. Closer inspection reveals the date to be February, 1969. Well, that explains the girl's white lipstick and bubble hairdo, anyway.	這是一間工具公司出的俗豔性感月曆。仔細一看，日期是 1969 年二月。這下就能解釋照片上那女孩為什麼擦白色唇膏、頂著蓬鬆爆炸頭了。
As much as you'd love to play a rousing round of pinball, you have other things to do.	雖然你很想痛快打一局彈珠台，但你還有別的事要做。
It's an ancient pinball machine with real rolling digit counters, lame flippers, wimpy kickers, half-burned-out lights, barely audible bells and elliptical balls.	這是一台老舊的彈珠台，有著會滾動的實體計數器、鬆軟無力的擋板、弱不禁風的彈射器、燒壞一半的燈泡、幾乎聽不見的鈴聲，還有橢圓形的彈珠。
You've got plenty, Officer. No need to take someone else's.	警員，你自己的就夠多了，不需要拿別人的。
Billiard balls.	撞球。
No need to go waving pool cues around. You've been issued more intimidating equipment.	不需要揮舞撞球桿。局裡發給你的裝備可威嚇多了。
Pool cues of different lengths are in the rack on the wall.	牆上的架子上放著長短不一的撞球桿。
You don't have time to play pool, Bonds.	Bonds，你沒時間打撞球。
The pooltable is covered with patches, tears, and cigarette burns.	撞球檯上滿是補丁、裂痕和菸疤。
It's Wino Willy's, the most repulsive, sleazy, low-life bar in town.	這是 Wino Willy's，全鎮最讓人反胃、最低級下流的酒吧。
You don't want that, Bonds.	Bonds，你不會想要那個的。
The sign says; "No gun rack, no NRA sticker, no service."	招牌上寫著：「沒有槍架、沒貼 NRA 貼紙，恕不服務。」
I'll make you eat that, pig.	我要讓你把那東西吃下去，臭豬。
The local working girl seems to recognize you. She looks familiar...	這位本地的應召女郎似乎認得你。她看起來有點眼熟……
You smile at Marie. You don't want to let her know that you're shocked. `Her life is her own', you tell yourself. `I shouldn't be judgemental'. But when you look at her sweet face and remember, you wish it just wasn't true.	你對 Marie 微笑，不想讓她知道你其實很震驚。『她的人生是她自己的』，你告訴自己，『我不該妄加評斷』。但看著她甜美的臉龐，回想起種種，你多希望這一切都不是真的。
Man, I knew I smelled pork.	呿，我就知道我聞到豬騷味了。
Oink oink oink, piggy.	哼哼哼，小豬仔。
What the #@$%&* do you want, PIG?	你這#@$%&*想幹嘛，臭豬？
Yaaaaahoo! It's bar-be-que time!	呀呼！烤肉時間到啦！
I'm gonna turn you into pork chops, boy!	我要把你做成豬排，小子！
Looking for something, Sonny?	在找什麼嗎，Sonny？
A word to the wise: The Lytton Police Department issues equipment to you so you can use it, not decorate your locker with it. Of course, you don't need your locker now...	給聰明人一句忠告：Lytton 警局發裝備給你是要你拿來用的，不是拿來裝飾你的置物櫃。當然啦，你現在也用不到置物櫃了……
Don't leave now. You have to deal with those bikers.	現在別走。你還得處理那些飆車族。
Your good friend SweatCheeks Marie is standing by the jukebox. It might be a good idea to talk with her and see what she knows about the drug problem in town.	你的好朋友 SweatCheeks Marie 正站在點唱機旁邊。找她聊聊、問問她對鎮上毒品問題知道些什麼，或許是個好主意。
It will also give you a good excuse to go chit-chat with her.	這也正好給你一個藉口去找她閒聊幾句。
Don't even think about it. You can't afford a new uniform, Bonds, and you'd have to burn this one if you sat on that stool.	想都別想。Bonds，你買不起新制服，要是坐上那張凳子，你這件恐怕就得燒掉了。
These grime-coated stools make the ones in Carol's look positively upscale.	這些油垢滿滿的凳子，讓 Carol 咖啡城堡裡的凳子看起來都高檔多了。
It's Wino Willy himself. Just looking at him makes you want to take a bath in disinfectant.	是 Wino Willy 本人。光看著他，就讓你很想去泡個消毒藥水澡。
Good afternoon, Mr. Wily.	午安，Wily 先生。
Good afternoon, Officer. Can I get you anything?	午安，警員。要來點什麼嗎？
Willy smiles an oily smile that makes you want to wash your hands. His eyes are darting around like a paranoid poodle's.	Willy 露出油膩膩的笑容，讓你很想去洗手。他的眼神像隻疑神疑鬼的貴賓狗一樣四處亂飄。
Not today, thanks.	今天不用，謝了。
I don't know nothin' about nothin'.	我啥都不知道，什麼都不知道。
Nice, springy foliage.	好有彈性的葉子。
That's one big plant!	這株植物真夠大！
The plant doesn't respond, it only listens quietly. (Maybe it's a plant for the FBI.)	這株植物沒有反應，只是靜靜聽著。（搞不好它是 FBI 派來的臥底植物。）
Ouch! Those plants are prickly!	哎唷！這些植物有刺！
The attractive foliage probably makes your average suspect feel much better about his or her plight.	這些漂亮的葉子，大概能讓一般嫌犯對自己的處境感覺好受一點。
The plants are grateful for your kind words. Usually, all they get is spit on.	這些植物很感激你的好話。平常它們得到的通常只有口水。
You press the entry buzzer alerting the guard inside that you wish to enter.	你按下門鈴按鈕，通知裡面的警衛你想要進去。
This is the button you push to gain entry to the jail.	這是進入看守所要按的按鈕。
The management would prefer that you not muck about with the camera (even if you COULD reach it).	管理單位希望你別亂碰那台攝影機（就算你搆得到）。
The surveillance camera allows Paul, the booker on the day shift, to make sure that nothing funny is going on.	這台監視攝影機讓白天班的建檔收押員 Paul 能隨時確認沒有異狀。
It's your personal vehicle. It looks kind of strange here.	這是你的私人車輛。停在這裡看起來有點怪。
It's your patrol car. Surely you recognize it by now.	這是你的巡邏車。你現在應該認得出來了吧。
It's your unmarked vehicle.	這是你的無標誌車輛。
Although an attractive gentleman, this guy's bad news. Now he can be bad news in jail.	雖然長得一表人才，這傢伙可是個麻煩人物。現在他可以到看守所裡繼續當麻煩人物了。
You don't need to hold up the column, Bonds. It's sturdy enough.	Bonds，你不需要撐著那根柱子，它夠堅固的。
Decorative columns nicely frame the jailhouse door. No doubt the prisoners appreciate them.	裝飾性的柱子把看守所大門襯托得很美觀。囚犯們想必也很欣賞。
Okay, I want the two of you to move over by the door...NOW!	好了，你們兩個給我到門邊去……馬上！
You'd better enjoy this bust, you porcine piece of crap. Your time in this town is limited.	你最好好好享受這次逮捕，你這頭豬玀。你在這鎮上的日子不多了。
