For now.	暫時是這樣。
It's too bad you didn't let your backup know where you were, Bonds. Even top cops need to know room numbers. It took them quite a while to find you. After all, you were weighted down at the bottom of the Bert's Park Pond...	真可惜，你沒讓後援知道你人在哪裡，Bonds。就算是最厲害的警察，也需要讓人知道門牌號碼。他們花了好一段時間才找到你。畢竟，你當時正沉在 Bert's Park 池塘底下，被壓得動彈不得……
What did you think you were going to do, talk him out of it? Perhaps you should have called for backup. Not that it matters to you anymore. You're just a footnote in the history of a city that continues to slide downhill.	你以為你要做什麼，用嘴巴勸他打消念頭？也許你該叫後援支援。不過現在講這些對你也沒意義了。你只不過是這座持續沉淪的城市歷史裡的一則小小註腳。
Five minutes later...	五分鐘後……
You play a good game of poker, Mr. Banksten. That proves to me that you're sharp. There's something I want to tell you.	你撲克牌打得不錯，Banksten 先生。這證明你頭腦靈光。有件事我想跟你說。
Um...yes, I think so. You're becoming famous, Mr. Bains.	嗯……對，我想是的。你越來越出名了，Bains 先生。
Oh, yes, I know exactly what you mean.	喔，對，我完全懂你的意思。
Of course you do. Whitey, I have a nice little operation here as you may have noticed. And there's more going on here than meets the eye. I'm in the process of expanding and could use a good man.	你當然懂。Whitey，你可能也注意到了，我在這裡經營著一個不錯的小生意。而且這裡的門道，可不只表面上看到的這些。我正在擴張事業，用得上一個能幹的人手。
This can be quite a lucrative deal. What I had in mind for you....	這筆交易可以讓你賺不少。我為你打算的是……
Excuse me for a moment, won't you? I'll take the call in the other room. Help yourself to a refreshment at the bar. I'll be back momentarily.	容我失陪一下，好嗎？我到隔壁房間接個電話。自己去吧檯拿點喝的吧。我馬上回來。
If you keep acting weird, Bains is going to ventilate you!	你再繼續表現得這麼奇怪，Bains 可要把你打成蜂窩了！
Natural dried branches have been artfully arranged in the vessel. Knowing Bains, they're probably off of some endangered rain forest tree.	花瓶裡藝術般地插著天然乾燥枝條。以 Bains 的個性來看，這些枝條大概是從某種瀕危雨林樹木上砍下來的。
You touch the tree, and discover it is real. However, Bains is looking at you strangely. You might be a vegetable yourself in another moment or two.	你摸了摸那棵樹，發現它是真的。不過 Bains 用奇怪的眼神看著你。再過一會兒，你自己可能就要變成植物人了。
A lovely ficus tree. You wonder whether or not it's real.	一棵漂亮的榕樹。你很好奇它是不是真的。
The tree is too scared to speak. You should be, too.	那棵樹嚇得不敢說話。你也該一樣。
Bains might not like people fondling his foliage, Bonds.	Bonds，Bains 大概不喜歡別人亂摸他的盆栽花草。
It's a huge tropical plant.	這是一株巨大的熱帶植物。
The plant says:	植物說：
"Don't talk to me, mon. I don't know a ting."	「『別跟我講話，老兄。我啥米攏毋知。』」
And for that, we have one very brave police officer to thank. A man who was prepared to make the ultimate sacrifice...a man who laid his life on the line to make Lytton a safer place for us all...	為此，我們要感謝一位非常勇敢的警官。一位隨時準備做出最終犧牲的男人……一位不惜賭上性命，只為讓 Lytton 對我們所有人來說更安全的男人……
Ladies and Gentlemen, I give you the man of the hour...Detective Sonny Bonds!	各位先生女士，讓我們歡迎今天的主角……Sonny Bonds 警探！
You think to yourself, "I wish I had somebody to share this moment with..."	你心裡想著：「真希望有人能跟我一起分享這一刻……」
And then you remember...you've got your first date with Marie tonight!	接著你想起來……你今晚跟 Marie 有第一次約會！
...it doesn't get any better than this.	……人生大概不會比這更美好了。
Hiding in the bushes outside the Courthouse probably wouldn't do much to futher your career, Bonds.	Bonds，躲在法院外的灌木叢裡，大概對你的仕途沒什麼幫助。
The bushes really brighten up the building.	這些灌木叢讓這棟建築增色不少。
It's your suave Camaro, the sexiest thing in your life right now.	這是你那輛帥氣的 Camaro，是你目前人生中最性感的東西。
Doing the Samson bit might be fun, but your hair's been cut recently.	學參孫拆房子聽起來很好玩，不過你最近才剪過頭髮。
The Neoclassical courthouse has semi-Doric columns.	這座新古典主義風格的法院有著半多立克式的柱子。
Through these doors lie the heart of American justice: the courtroom.	穿過這扇門，就是美國司法的核心：法庭。
Stop acting goofy, Bonds. Appearances count in the police biz.	別再耍寶了，Bonds。幹警察這行，門面很重要。
The grass is green and neatly trimmed.	草坪修剪得整整齊齊，翠綠一片。
It would be inappropriate to scale or deface the courthouse. You'd have to do the right thing and arrest yourself; then where would you be?	攀爬或破壞法院是不恰當的行為。你到時候得秉公辦事逮捕自己，那你還能怎麼辦？
Nice pediment, huh? You wonder if every courthouse in America is Neoclassical.	山牆很漂亮吧？你很好奇是不是美國每座法院都是新古典主義風格。
You give the courthouse a reassuring pat.	你輕拍法院的牆面，像是在給它打氣。
This is the City of Lytton Courthouse.	這是 Lytton 市法院。
Leave the concrete alone, Sonny. You're supposed to be acting like a cop.	Sonny，別去亂碰那片水泥地。你該表現得像個警察。
It's simply the sidewalk.	這只是一條人行道。
Your black-and-white squad car sits by the curb. There's something thrillingly official about the sight of a black-and-white in front of a courthouse.	你的黑白雙色巡邏車停在路邊。停在法院前的黑白巡邏車，看起來有種令人熱血的官方氣派。
You've got no time to be sitting and loitering on the Courthouse steps.	你沒空坐在法院台階上閒晃。
You always feel good when you climb these steps.	每次爬上這些台階，你心情總是不錯。
Keep your hands off the street; you've got business to attend to.	別去亂碰馬路，你還有正事要辦。
It's the street in front of the courthouse, where you're parked.	這是法院前的馬路，你把車停在這裡。
Your unmarked Thunderbird is parked by the curb.	你那輛無標誌的 Thunderbird 停在路邊。
The windows are best left in their current state.	這些窗戶最好維持原狀，別去動它們。
The Courthouse windows are big and airy. Jack likes to say that the light of day always shines on the face of justice. Of course, Jack's something of a wiseguy.	法院的窗戶又大又通風。Jack 常說，天光永遠照耀著正義之臉。當然啦，Jack 這人有點自作聰明。
Manhandling the clerk won't get you anywhere.	對書記官動粗不會有任何好處。
It's the court clerk.	這是法院書記官。
Thank you for your help. Sorry for interrupting the day's proceedings.	謝謝你的幫忙。抱歉打斷了今天的庭務。
You're welcome, Detective. We're on the same side here.	不客氣，警探。我們是同一陣線的。
Can I help you, Officer?	警員，需要我幫忙嗎？
Oh, yes, that's right, Officer Bonds. Go right in.	喔，對，沒錯，Bonds 警員。請直接進去吧。
How can I help you?	有什麼能幫你的嗎？
I need to see Judge Palmer right away, please.	我需要立刻見 Palmer 法官，麻煩了。
And you are...?	請問你是……？
Detective Sonny Bonds, Narcotics division of the LPD.	LPD 緝毒組，Sonny Bonds 警探。
The clerk seems to be considering it.	書記官似乎在考慮。
Please, sir, we have reason to believe that Hoffman is extremely dangerous. Lives may be on the line here.	拜託，先生，我們有理由相信 Hoffman 極度危險，人命可能危在旦夕。
Okay, I'll do my best.	好，我會盡力。
Go on in. The judge will see you now.	進去吧，法官現在可以見你了。
Thank you!	謝謝你！
You'd better not enter the court until invited. You certainly don't want to incure the wrath of Judge Richard Palmer. He's one tough judge.	你最好等獲邀才進入法庭。你絕對不會想惹惱 Richard Palmer 法官，他可是個鐵面法官。
This door leads into the Courthouse proper.	這扇門通往法院正廳。
Control yourself. Getting down on your knees and begging is not a useful tactic here.	克制一點。跪下來求饒在這裡不是什麼有用的招數。
Black and white checked tile...just like in a 1950s diner.	黑白格紋磁磚……就像 1950 年代的餐館一樣。
Unlike the veneer in most city offices, this is real wood.	不像大多數市府辦公室用的貼皮板，這是真正的木頭。
The paneling is old, but in good shape. The town takes good care of its historic buildings.	這片木板牆已經有些年頭了，但保養得很好。這座城鎮很用心維護歷史建築。
You're in the Courthouse anteroom.	你正站在法院的前廳。
Quit dawdling. Get off your ante and go about your business.	別再拖拖拉拉了。別窩在前廳，快去辦你的正事。
What did you think it was going to do, bark and beg for fish?	你以為它會做什麼，吠叫討魚吃嗎？
It's the Seal of the City of Lytton.	這是 Lytton 市的市徽（Seal）。
Don't play with the window. The judge will find you in contempt of the Courthouse.	別去亂弄那扇窗戶，法官會以藐視法院罪對付你。
The old-fashioned window looks just right in the old-fashioned anteroom.	這扇老式窗戶，跟這間老式前廳相得益彰。
Don't remove it, it's a piece of history.	別把它拆掉，這是一件歷史古物。
There's a board over the window. It's one of those inexplicable things you see in old architecture that you're certain must have a purpose.	窗戶上釘著一塊木板。這是那種在老建築裡常見、莫名其妙卻讓你確信一定有其用途的東西。
What were you thinking of doing, stealing his gun?	你在想什麼，偷他的槍嗎？
Thank you, Detective.	謝謝你，警探。
Please approach the bench, Detective Bonds.	請上前到法官席，Bonds 警探。
Thank you, Your Honor. I'll do what I can.	謝謝，庭上。我會盡力而為。
Please approach the bench, Detective.	警探，請上前到法官席。
Well, this certainly supports your theory, Detective Bonds. Your No Bail Warrant for Mr. Hoffman is granted.	嗯，這的確支持了你的推論，Bonds 警探。針對 Hoffman 先生的不得交保令，本席核准。
Thank you, Your Honor.	謝謝，庭上。
You won't regret this, Judge Palmer.	Palmer 法官，你不會後悔的。
Thank you, Detective Bonds.	謝謝你，Bonds 警探。
Believe me when I say I'd love to give you a warrant for this suspect, but there just isn't enought evidence to support it. If you could provide me with something else, I could probably issue one. Sorry, Detective.	相信我，我很想核發拘票對付這名嫌犯，但目前的證據並不足以支持。如果你能提供其他佐證，我或許就能核發。抱歉了，警探。
It's Rusty, the Bailiff. He's got a pretty sedate job ... most of the time.	這是 Rusty，法警。他的工作大多時候都相當清閒……
Address your comments to the Judge, not to the Bailiff.	有意見請對法官說，不是對法警說。
You shouldn't be wandering around the courtroom, Bonds.	Bonds，你不該在法庭裡到處閒晃。
It's a table.	這是一張桌子。
Oh, come on.	喔，拜託。
This is the judge's chair.	這是法官的座椅。
You may have the courtroom jitters, Bonds, but you can't leave yet. You have things to do.	Bonds，你可能有點法庭恐懼症，但你現在還不能走，你還有事要辦。
This door leads to the anteroom.	這扇門通往前廳。
Leave the Stars & Stripes alone, Bonds.	Bonds，別去亂碰星條旗。
It's the American flag.	這是美國國旗。
You only approach the bench when the judge asks you to do so. You NEVER touch the judge's bench.	只有法官示意時，你才能上前到法官席。你絕對不能碰法官席。
This is the judge's bench.	這是法官席。
During the course of your career, you've been asked to handle junkies, murderers, rapists, thieves, nuts and pushers.	在你的職業生涯中，你處理過毒蟲、殺人犯、強姦犯、竊賊、瘋子和毒販。
But you'd never stoop to touching a lawyer.	但你絕不會墮落到去碰律師。
Lawyers.	律師。
I hate those guys.	我討厭那些傢伙。
You avoid talking to lawyers whenever possible. After all, you work months to bring some slime to justice, and the lawyers do their best to get these miscreants back out on the street...to murder, rape, and loot again.	你能不跟律師講話就盡量不講。畢竟，你花了好幾個月才把某個人渣繩之以法，律師卻竭盡全力把這些惡棍弄回街上……讓他們繼續殺人、強姦、洗劫。
It's a cliche, but it works: Act your age, not your shoe size.	這是句老掉牙的話，但很受用：表現得像你的年紀，別像你的鞋碼那麼小。
It's the court recorder's transcription machine.	這是法庭記錄員的速記機。
Get serious, Bonds. The judge would not appreciate your enthusiasm for art.	認真點，Bonds。法官可不會欣賞你對藝術的熱情。
There is a beautiful painting of turn-of-the-century Lytton behind the judge's bench.	法官席後方掛著一幅描繪世紀之交 Lytton 的美麗畫作。
Come on, Bonds, you can't grab the judge.	拜託，Bonds，你不能抓法官。
Give it to the bailiff, Bonds.	Bonds，把它交給法警。
Judge Richard Palmer is known and feared by the criminals of Lytton. He runs a strict courtroom, but a clean one.	Richard Palmer 法官在 Lytton 的罪犯圈中既出名又令人畏懼。他治理的法庭嚴格，但也清廉公正。
Leave Judge Palmer alone, Bonds. He'll probably hold you in contempt if you irritate him.	Bonds，別去煩 Palmer 法官。你要是惹惱他，他大概會以藐視法庭罪對付你。
Judge Palmer is busy.	Palmer 法官正在忙。
Yes, Your Honor, I have it right here.	是的，庭上，我這裡就有。
Yes...yes, this is perfect. I'll grant your No Bail Warrant, Bonds.	對……對，這樣就完美了。我核准你的不得交保令，Bonds。
You're welcome. Now MOVE!	不客氣。現在快去！
What's your reason for needing the Warrant, Bonds?	Bonds，你申請這張拘票的理由是什麼？
I believe that not only is this man a menace to the public, but he is without a doubt Jason Taselli, a drug dealer on the FBI's Ten Most Wanted list.	我相信這個人不只對社會大眾構成威脅，而且毫無疑問就是 Jason Taselli，一名列在 FBI 十大通緝要犯名單上的毒販。
What makes you think Taselli and Hoffman are the same man, Officer?	警員，你憑什麼認為 Taselli 和 Hoffman 是同一個人？
Their physical descriptions are nearly identical, and they are known to frequent the same areas and see the same people. Most importantly, each man is described as having a tattoo of a red rose over his left nipple.	他們的體貌特徵幾乎一模一樣，而且已知會出入相同的地區、接觸相同的人。最重要的是，兩人都被描述在左乳頭上方有一個紅玫瑰刺青。
Yes, your honor.	是的，庭上。
Present it to the bailiff, Detective.	警探，把它交給法警。
It doesn't feel very strong. You wonder why it's there at all.	摸起來不太堅固。你很好奇它到底是為了什麼裝在這裡。
There is a wooden railing around the observer's seats.	旁聽席周圍有一圈木製欄杆。
Leave the court officials alone.	別去打擾法院的工作人員。
This is the court recorder.	這是法庭記錄員。
This is the historical City of Lytton Courthouse.	這是具有歷史意義的 Lytton 市法院。
These are seats for courtroom observers.	這些是旁聽席的座位。
...And furthermore, Counselor, your tactics are the most reprehensible I've ever seen during my 15 years on the bench. If I ever hear an outburst like that from you again, I'll ban you from my courtroom.	……而且，辯護律師，你的手段是我坐上法官席這 15 年來見過最惡劣的。要是我再聽到你這樣咆哮一次，我就把你逐出我的法庭。
BONDS!	BONDS！
