It's Sergeant Dooley.	這是 Dooley 警佐。
Sgt. Dooley stands here. Your chair is at the table.	Dooley 警佐站在這裡。你的座位在桌邊。
The award-winning Lytton Tribune.	得獎的《Lytton 論壇報》。
You pick up the paper, and scan the leading stories:	你拿起報紙，瀏覽頭版新聞：
LYTTON CRIME RATE GROWS WITH CITY by Ben Bulwer, Lytton journalist. In the past several years, the city of Lytton has grown in every way. Industry, employment, and population are booming. This once little town is now a thriving city. Unfortunately, every thriving being has its parasites.	《Lytton 犯罪率隨城市成長》／Lytton 記者 Ben Bulwer 報導。過去幾年，Lytton 在各方面都持續擴張：產業、就業與人口都蓬勃發展。這座曾經的小鎮如今欣欣向榮；可惜凡是繁榮之處，也都會滋生寄生蟲。
Lytton is now plagued with violent crimes such as muggings and drive-by shootings. Vandalism is running rampant. Lytton teenagers are no longer spending their time at the mall and the arcade. They are turning to more destructive pastimes. Just last night, three of Lytton's young people were arrested for DUI.	如今 Lytton 飽受搶劫、飛車槍擊等暴力犯罪侵擾，破壞公物也日益猖獗。Lytton 的青少年不再把時間花在購物中心和遊樂場，而是轉向更具破壞性的消遣。就在昨晚，三名 Lytton 年輕人因酒後駕車遭到逮捕。
See Crime, page 8.	犯罪新聞請見第 8 版。
Rats, someone tore out page 8! But another story catches your eye:	可惡，有人撕走了第 8 版！但另一則新聞吸引了你的目光：
OFFICERS NOMINATED FOR AWARD Lytton police chief Randolph Whipplestick has announced the nomination of Officer Sonny Bonds and Officer Joe Morgan for the coveted "Officer of the Year" award. Both men have shown outstanding (See Officers, page 8)	《警員獲提名角逐獎項》Lytton 警察局長 Randolph Whipplestick 宣布，Sonny Bonds 警員與 Joe Morgan 警員獲提名角逐夢寐以求的「年度警員」獎。兩人都展現了傑出表現（警員專題請見第 8 版）。
Pleased and more than a little embarrased, you put the paper back where you got it. You can't help grinning...	你既高興又有點尷尬，把報紙放回原處，忍不住咧嘴笑了起來……
A newspaper lies on the table.	桌上放著一份報紙。
It's this morning's edition of the Lytton Tribune. You see a cover story about rising crime in Lytton. Hmm, looks pretty intersting...	這是今天早上的《Lytton 論壇報》。頭版報導 Lytton 犯罪率上升。嗯，看起來頗有意思……
Jack's pigeonhole has a message that reads, 'I shot the last sucker that nosed around in MY pigeonhole!'	Jack 的信箱裡有張紙條：「上個鬼鬼祟祟翻我信箱的蠢蛋，已經被我射了！」
Keep your paws out of other people's pigeonholes, Bonds.	別把手伸進別人的信箱，Bonds。
These are pigeonholes for office mail.	這些是放置辦公郵件的信箱。
