Press this button for information about Police Quest.	按這個按鈕查看《警察故事》的遊戲資訊。
Police Quest: In Pursuit of the Death Angel Version: %s	《警察故事：追捕死亡天使》版本：%s
The entire Police Quest series features authentic law enforcement techniques. Our goal is to give you a taste of what policemen and policewomen actually encounter in their day-to-day dealings with the public and with each other.	《警察故事》系列採用真實的執法技巧。我們希望讓你體驗警察每天與民眾及同僚打交道時，實際會遇到的情況。
If you're finding POLICE QUEST: IN PURSUIT OF THE DEATH ANGEL entertaining and enlightening, you'll want to play the other games in the POLICE QUEST series:	如果你覺得《警察故事：追捕死亡天使》既有趣又長見識，也一定會想玩玩《警察故事》系列的其他作品：
POLICE QUEST 2: THE VENGEANCE is the story of Sonny Bonds's race to track down a cold-blooded cop killer before Sonny himself ends up as the next victim. This time, you'll use authentic homicide investigation techniques, master weapons, disarm explosive devices, and more in your desperate efforts to prevent your own murder.	《警察故事 2：復仇》描述 Sonny Bonds 追查冷血殺警兇手的故事；在自己成為下一名受害者前，你必須運用真正的命案調查技術、熟悉武器、拆除爆裂物，拼命阻止自己的死亡。
POLICE QUEST 3: THE KINDRED thrusts Sonny into a dark world of cult killers, drugs, and a corruption that's spreading throughout the Lytton Police Department itself! PQ3 features a soundtrack by Jan Hammer of MIAMI VICE fame, and our intuitive point-and-click interface.	《警察故事 3：血親》把 Sonny 推入邪教殺手、毒品，以及蔓延整個 Lytton 警察局的腐敗黑暗世界！《警察故事 3》採用《邁阿密風雲》作曲家 Jan Hammer 的配樂，並提供直覺的點擊介面。
To place an order, simply dial Sierra Sales at 800 326-6654. For International orders, call 0734-303171. Sierra Technical Support is available Monday through Friday, 7 am to 7 pm Pacific time, at 209 683-8989. Operators are standing by.	訂購請撥打 Sierra 銷售部 800 326-6654；國際訂單請撥 0734-303171。Sierra 技術支援週一至週五太平洋時間上午七點至晚上七點提供服務，電話 209 683-8989。客服人員等候中。
Police Quest: In Pursuit of the Death Angel was created by the following Honorary Members of the Lytton PD:	《警察故事：追捕死亡天使》由以下 Lytton 警察局榮譽成員共同製作：
Executive Producer: Ken Williams Creative Director: Bill Davis Producer: Tammy Dargan Art Director: Jim Larsen	執行製作：Ken Williams　創意總監：Bill Davis　製作人：Tammy Dargan　美術總監：Jim Larsen
Composer: Rob Atesalp Animators: Cindy Walker Daryle Smith Al Roughton Frances Anne Powell Deanna Yhalkee Spartaco Margioni Jim Larsen	作曲：Rob Atesalp　動畫：Cindy Walker、Daryle Smith、Al Roughton、Frances Anne Powell、Deanna Yhalkee、Spartaco Margioni、Jim Larsen
Background Artists: Jim Larsen Al Roughton Nathan Larsen Terrence C. Falls Willis Wong Maurice F. Morgan Michael Hutchison Arturo Sinclair Cindy Walker Richard Powell	背景美術：Jim Larsen、Al Roughton、Nathan Larsen、Terrence C. Falls、Willis Wong、Maurice F. Morgan、Michael Hutchison、Arturo Sinclair、Cindy Walker、Richard Powell
Programmers: Krishnan Shankar Charles "Chip" Kercher III Todd Powers Scott Murphy Carlos Escobar Michael Brock Hugh Diedrichs	程式設計：Krishnan Shankar、Charles「Chip」Kercher III、Todd Powers、Scott Murphy、Carlos Escobar、Michael Brock、Hugh Diedrichs
Music Director: Mark Seibert	音樂總監：Mark Seibert
Development System: Jeff Stephenson Mark Wilden Dan Foy J. Mark Hood Christopher Smith Larry Scott Ken Koch Jack Magne	開發系統：Jeff Stephenson、Mark Wilden、Dan Foy、J. Mark Hood、Christopher Smith、Larry Scott、Ken Koch、Jack Magne
Additional Written Material: Scott Murphy Lorlei Shannon	補充文字：Scott Murphy、Lorlei Shannon
Special Thanks: Kit Rees, Model Assembly Quality Assurance: Mike Pickhinke John Ratcliffe	特別感謝：Kit Rees、Model Assembly　品質保證：Mike Pickhinke、John Ratcliffe
A Very Special Thanks to the following people, who made this game possible: Hugh Diedrichs, SWAT Programmer Carlos Escobar, SWAT Programmer Josh Mandel, SWAT Director Stuart Moulder, SWAT Producer	特別感謝以下讓本遊戲得以完成的人員：Hugh Diedrichs（SWAT 程式設計）、Carlos Escobar（SWAT 程式設計）、Josh Mandel（SWAT 導演）、Stuart Moulder（SWAT 製作人）
These are lot more effective when used in conjunction with a weapon.	這些物品搭配武器使用時，效果會好得多。
Those only work in the lock of your personal vehicle.	那些只能用在你私人車輛的車鎖上。
Don't know what you had in mind. That's designed to be used only in your computer.	不知道你在想什麼。那是專供電腦使用的。
Those items won't work together.	那些物品不能一起使用。
That's an interesting idea.	這主意挺有意思。
That's not necessary.	沒必要這麼做。
That won't do anything helpful.	那樣做沒有幫助。
Listen, pal, frivolous use of your piece is grounds for termination, not to mention potential indictment.	聽著，夥計，隨意亂用配槍足以讓你丟掉工作，更別提可能遭到起訴。
Your cuffs have a specific application. That's not one of them.	手銬有特定用途；這不是其中之一。
That won't further your cause.	那樣無法幫你達成目的。
That will only work in the door to your hotel room.	那只能用在你飯店房間的門上。
You'll want to save these spiffy duds for your own use.	這套漂亮衣服還是留給自己穿吧。
That's not proper treatment of someone's personal effects.	那不是處理他人私人物品的正當方式。
Just another part of the Lytton landscape...what the Mayor would call, "another one of Lytton's thousand points of light."	Lytton 景色的另一部分……市長會稱它為「Lytton 千萬點燈火中的又一點」。
Keep that stowed unless the you're going to use it properly.	除非要正確使用，否則把它收好。
Hey! Hey! Hey! No grafitti! You're an officer of the law. Set a good example.	嘿！嘿！嘿！不准塗鴉！你是執法人員，要做好榜樣。
While it sounds like fun now, you'll regret it later.	現在聽起來也許很好玩，但你之後會後悔。
That's meant for your patrol car's ignition switch only.	那只適用於巡邏車的點火開關。
That's not a proper application for your radio extender.	那不是無線電延伸器的正確用途。
It's not unlike talking to a brick wall.	這就像對著磚牆說話一樣。
That's improper procedure. Try a different approach.	程序不正確。換個方法試試。
You can't be pasting tickets any place you want.	你不能想在哪裡開單就在哪裡開單。
Those keys are only meant to be used in the undercover car's ignition.	那些鑰匙只能用於便衣車的點火開關。
Pretty carefree behavior for a person drawing a salary from a police department.	領警察局薪水的人，這種行為未免太隨便了。
The warrant has a very specific purpose; that's not it.	這張令狀有非常明確的用途；不是拿來做這件事的。
